id_cliente;data_compra;valor;categoria
CLI00041;15/02/2024;992,59;Informática
CLI00041;20/02/2024;130,69;Informática
CLI00041;12/08/2024;1291,75;Móveis
CLI00041;26/03/2025;1689,36;Informática
CLI00041;05/05/2025;3558,18;Móveis
CLI00041;23/10/2025;5073,37;Eletro
CLI00042;31/10/2023;843,07;Móveis
CLI00042;29/03/2024;471,67;Móveis
CLI00042;18/08/2024;629,77;Informática
CLI00042;15/01/2025;285,49;Informática
CLI00042;06/04/2025;953,8;Cama/Mesa/Banho
CLI00042;19/11/2025;410,72;Informática
CLI00043;17/04/2024;441,98;Informática
CLI00043;06/06/2024;730,72;Cama/Mesa/Banho
CLI00043;29/09/2025;559,61;Móveis
CLI00047;01/09/2023;1106,27;Informática
CLI00047;26/05/2024;1097,85;Móveis
CLI00048;12/12/2025;931,25;Informática
CLI00051;05/12/2023;223,71;Cama/Mesa/Banho
CLI00051;15/09/2024;335,67;Móveis
CLI00051;17/03/2025;288,34;Eletro
CLI00052;04/03/2024;1831,11;Eletro
CLI00052;17/03/2025;504,05;Informática
CLI00052;26/05/2025;1329,02;Informática
CLI00052;18/08/2025;3259,42;Móveis
CLI00055;28/04/2023;278,57;Cama/Mesa/Banho
CLI00055;29/05/2024;1036,59;Móveis
CLI00055;22/07/2025;526,13;Informática
CLI00056;18/10/2023;544,1;Informática
CLI00057;08/01/2023;1710,12;Cama/Mesa/Banho
CLI00057;24/09/2023;499,03;Cama/Mesa/Banho
CLI00057;10/01/2025;547,11;Móveis
CLI00060;20/09/2023;1334,92;Móveis
CLI00061;05/12/2023;2758,89;Móveis
CLI00066;14/09/2024;1224,3;Eletro
CLI00066;18/04/2025;2376,03;Informática
CLI00068;07/07/2023;1181,15;Eletro
CLI00069;01/11/2024;445,48;Móveis
CLI00069;18/03/2025;869,88;Informática
CLI00071;31/03/2024;409,43;Móveis
CLI00071;06/06/2025;502,32;Informática
CLI00072;01/09/2025;2240,53;Móveis
CLI00075;23/07/2023;1097,36;Informática
CLI00076;15/11/2024;719,34;Eletro
CLI00076;08/07/2025;597,34;Móveis
CLI00076;17/07/2025;691,46;Cama/Mesa/Banho
CLI00076;24/10/2025;443,54;Informática
CLI00079;29/12/2023;1367,86;Eletro
CLI00079;15/01/2026;1878,35;Móveis
CLI00084;03/05/2023;1521,62;Cama/Mesa/Banho
CLI00084;23/05/2023;554,56;Cama/Mesa/Banho
CLI00084;22/10/2023;1118,79;Eletro
CLI00084;29/02/2024;440,47;Informática
CLI00084;29/09/2025;300,89;Eletro
CLI00085;15/03/2024;117,41;Cama/Mesa/Banho
CLI00085;30/04/2024;904,21;Eletro
CLI00085;22/02/2025;1076,81;Móveis
CLI00085;24/09/2025;3537,86;Cama/Mesa/Banho
CLI00085;07/11/2025;1136,71;Cama/Mesa/Banho
CLI00085;27/02/2026;694,57;Móveis
CLI00086;25/02/2025;1331,5;Informática
CLI00088;01/04/2023;728,78;Móveis
CLI00088;01/06/2024;1406,12;Móveis
CLI00088;15/11/2024;513,2;Informática
CLI00088;13/07/2025;658,76;Cama/Mesa/Banho
CLI00090;03/09/2023;1347,06;Móveis
CLI00090;05/06/2024;255,0;Informática
CLI00090;18/05/2025;967,8;Eletro
CLI00092;18/08/2023;3663,08;Cama/Mesa/Banho
CLI00092;03/04/2024;459,47;Informática
CLI00092;02/12/2024;1421,94;Eletro
CLI00092;16/07/2025;883,98;Cama/Mesa/Banho
CLI00094;26/11/2023;441,91;Informática
CLI00094;16/12/2024;1104,12;Móveis
CLI00094;11/09/2025;361,32;Cama/Mesa/Banho
CLI00094;06/10/2025;701,55;Móveis
CLI00095;17/06/2023;1466,09;Cama/Mesa/Banho
CLI00095;27/01/2024;1747,98;Móveis
CLI00095;28/03/2024;1462,59;Móveis
CLI00095;07/09/2025;267,35;Cama/Mesa/Banho
CLI00095;20/10/2025;1290,68;Informática
CLI00098;17/12/2023;1463,36;Móveis
CLI00098;04/04/2024;1730,02;Móveis
CLI00098;19/04/2024;846,08;Informática
CLI00098;15/04/2025;233,58;Informática
CLI00098;24/08/2025;718,09;Eletro
CLI00098;03/10/2025;223,94;Cama/Mesa/Banho
CLI00099;21/09/2022;978,08;Móveis
CLI00099;30/06/2025;1037,13;Móveis
CLI00100;17/02/2024;143,29;Informática
CLI00100;20/08/2025;3873,11;Informática
CLI00101;06/02/2025;863,52;Informática
CLI00103;24/10/2023;689,75;Cama/Mesa/Banho
CLI00103;07/01/2024;480,54;Cama/Mesa/Banho
CLI00103;21/02/2024;624,98;Cama/Mesa/Banho
CLI00103;10/10/2024;3010,93;Eletro
CLI00103;09/08/2025;900,29;Informática
CLI00104;20/08/2023;153,61;Móveis
CLI00106;11/01/2025;947,71;Cama/Mesa/Banho
CLI00111;15/07/2023;888,67;Cama/Mesa/Banho
CLI00111;09/11/2024;414,37;Informática
CLI00111;21/11/2024;447,26;Informática
CLI00111;21/11/2025;322,57;Informática
CLI00113;15/06/2023;2371,49;Eletro
CLI00114;15/09/2025;1412,74;Eletro
CLI00115;01/03/2024;1141,32;Informática
CLI00115;03/05/2024;803,87;Cama/Mesa/Banho
CLI00115;25/06/2024;536,85;Eletro
CLI00115;06/12/2024;801,14;Cama/Mesa/Banho
CLI00115;03/04/2025;505,99;Móveis
CLI00115;21/02/2026;384,19;Eletro
CLI00117;05/09/2024;691,17;Móveis
CLI00117;17/01/2026;880,8;Cama/Mesa/Banho
CLI00119;11/03/2023;1472,24;Eletro
CLI00119;28/12/2023;501,63;Cama/Mesa/Banho
CLI00119;17/06/2024;485,85;Eletro
CLI00119;15/09/2025;476,44;Informática
CLI00120;12/12/2022;790,85;Eletro
CLI00120;03/02/2024;693,31;Cama/Mesa/Banho
CLI00121;16/04/2024;555,31;Cama/Mesa/Banho
CLI00121;22/02/2026;567,88;Eletro
CLI00122;15/05/2023;341,64;Informática
CLI00122;17/12/2023;350,5;Informática
CLI00122;21/03/2025;969,18;Eletro
CLI00122;22/06/2025;232,65;Móveis
CLI00122;10/09/2025;1778,02;Eletro
CLI00122;12/02/2026;997,69;Cama/Mesa/Banho
CLI00126;24/04/2025;810,84;Eletro
CLI00127;30/04/2024;1219,88;Eletro
CLI00127;12/08/2024;1443,21;Móveis
CLI00127;13/03/2026;548,41;Eletro
CLI00128;24/11/2023;608,28;Cama/Mesa/Banho
CLI00128;26/08/2025;176,15;Cama/Mesa/Banho
CLI00128;18/09/2025;610,5;Eletro
CLI00130;14/04/2024;605,67;Cama/Mesa/Banho
CLI00130;02/05/2025;792,89;Cama/Mesa/Banho
CLI00130;07/07/2025;710,57;Cama/Mesa/Banho
CLI00132;03/04/2024;404,33;Eletro
CLI00132;27/11/2025;1272,34;Móveis
CLI00134;04/05/2024;261,46;Eletro
CLI00134;10/07/2024;1755,13;Informática
CLI00134;22/08/2024;627,83;Eletro
CLI00134;05/10/2024;1543,83;Cama/Mesa/Banho
CLI00134;07/11/2024;645,47;Cama/Mesa/Banho
CLI00134;20/05/2025;697,35;Eletro
CLI00134;20/07/2025;380,14;Informática
CLI00137;03/12/2024;1953,41;Eletro
CLI00137;09/03/2025;1452,59;Informática
CLI00140;18/10/2023;3316,31;Eletro
CLI00140;17/11/2023;808,77;Informática
CLI00140;28/07/2024;733,86;Cama/Mesa/Banho
CLI00140;02/09/2024;986,73;Cama/Mesa/Banho
CLI00140;22/09/2024;1421,0;Móveis
CLI00141;27/08/2023;638,05;Cama/Mesa/Banho
CLI00141;05/10/2024;1150,42;Eletro
CLI00141;08/05/2025;1465,14;Informática
CLI00142;11/02/2024;599,75;Eletro
CLI00142;26/09/2024;4140,87;Informática
CLI00143;28/01/2025;518,22;Informática
CLI00143;31/01/2025;283,36;Móveis
CLI00144;24/12/2023;262,83;Eletro
CLI00144;04/03/2025;819,18;Eletro
CLI00145;12/08/2023;664,16;Eletro
CLI00148;05/01/2025;1939,0;Informática
CLI00148;18/02/2025;2228,53;Móveis
CLI00148;17/04/2025;3010,86;Eletro
CLI00149;22/11/2022;1191,48;Cama/Mesa/Banho
CLI00149;18/10/2024;851,86;Informática
CLI00149;11/05/2025;318,4;Móveis
CLI00149;04/11/2025;268,21;Cama/Mesa/Banho
CLI00149;18/02/2026;893,82;Móveis
CLI00152;16/10/2024;496,69;Eletro
CLI00153;16/05/2025;144,56;Cama/Mesa/Banho
CLI00153;18/06/2025;1356,92;Cama/Mesa/Banho
CLI00155;25/11/2023;696,65;Eletro
CLI00155;23/12/2024;293,19;Móveis
CLI00156;30/07/2023;578,21;Eletro
CLI00156;29/08/2023;507,02;Móveis
CLI00156;25/04/2024;5901,35;Cama/Mesa/Banho
CLI00156;20/08/2024;480,11;Eletro
CLI00156;11/11/2024;125,09;Informática
CLI00156;02/02/2025;408,47;Móveis
CLI00156;22/08/2025;635,48;Móveis
CLI00156;11/03/2026;483,59;Informática
CLI00157;01/09/2023;270,58;Móveis
CLI00159;19/04/2024;473,88;Cama/Mesa/Banho
CLI00159;15/10/2024;511,6;Informática
CLI00159;18/01/2025;268,54;Móveis
CLI00159;11/04/2025;804,53;Móveis
CLI00160;22/02/2024;1061,04;Informática
CLI00160;15/12/2025;1272,17;Eletro
CLI00162;30/09/2023;784,32;Eletro
CLI00162;27/01/2024;360,46;Cama/Mesa/Banho
CLI00162;07/04/2024;868,84;Cama/Mesa/Banho
CLI00163;01/09/2023;790,85;Informática
CLI00163;24/04/2025;937,88;Cama/Mesa/Banho
CLI00164;07/03/2023;484,8;Cama/Mesa/Banho
CLI00164;23/09/2023;390,22;Móveis
CLI00164;04/08/2024;95,36;Eletro
CLI00164;31/08/2024;1160,29;Móveis
CLI00164;17/10/2024;220,76;Cama/Mesa/Banho
CLI00164;25/12/2024;462,41;Cama/Mesa/Banho
CLI00164;12/07/2025;74,46;Cama/Mesa/Banho
CLI00165;10/05/2025;503,59;Móveis
CLI00166;19/03/2025;1459,6;Informática
CLI00168;20/11/2024;561,95;Informática
CLI00168;06/11/2025;1186,67;Informática
CLI00171;09/05/2024;795,28;Informática
CLI00171;22/07/2025;1708,83;Cama/Mesa/Banho
CLI00172;17/10/2023;2828,16;Informática
CLI00173;20/04/2024;1057,62;Cama/Mesa/Banho
CLI00173;01/06/2024;542,44;Informática
CLI00173;06/08/2025;674,27;Cama/Mesa/Banho
CLI00175;01/03/2024;787,62;Informática
CLI00175;10/04/2025;223,85;Eletro
CLI00176;13/10/2025;1916,75;Móveis
CLI00179;16/02/2024;548,16;Cama/Mesa/Banho
CLI00181;09/02/2026;872,51;Móveis
CLI00183;26/05/2024;577,08;Móveis
CLI00183;14/08/2025;235,14;Informática
CLI00183;16/12/2025;502,93;Cama/Mesa/Banho
CLI00184;11/08/2023;302,05;Móveis
CLI00184;29/08/2023;215,17;Informática
CLI00184;03/02/2024;474,71;Móveis
CLI00184;07/04/2024;504,13;Eletro
CLI00184;04/05/2024;152,24;Eletro
CLI00184;10/07/2024;195,62;Eletro
CLI00184;20/08/2024;467,72;Cama/Mesa/Banho
CLI00184;17/09/2024;1154,12;Cama/Mesa/Banho
CLI00184;08/03/2025;212,89;Cama/Mesa/Banho
CLI00184;16/03/2025;323,21;Eletro
CLI00184;20/11/2025;1348,87;Cama/Mesa/Banho
CLI00184;31/01/2026;590,91;Eletro
CLI00186;22/04/2024;367,27;Móveis
CLI00186;10/06/2024;163,83;Móveis
CLI00186;23/12/2024;1336,3;Informática
CLI00187;09/09/2023;475,26;Eletro
CLI00187;26/06/2025;1436,89;Eletro
CLI00187;25/11/2025;288,47;Cama/Mesa/Banho
CLI00189;10/10/2024;409,35;Móveis
CLI00189;30/11/2024;685,96;Informática
CLI00190;18/12/2023;1737,27;Móveis
CLI00190;08/11/2024;560,47;Cama/Mesa/Banho
CLI00190;18/09/2025;763,65;Cama/Mesa/Banho
CLI00193;02/04/2024;799,2;Informática
CLI00194;14/02/2024;829,45;Cama/Mesa/Banho
CLI00194;14/09/2024;847,01;Eletro
CLI00194;27/12/2024;627,98;Informática
CLI00196;07/01/2024;264,67;Cama/Mesa/Banho
CLI00196;29/07/2024;664,56;Cama/Mesa/Banho
CLI00200;19/07/2024;1658,55;Eletro
CLI00200;02/08/2024;638,22;Móveis
CLI00200;28/03/2025;379,84;Eletro
CLI00203;20/10/2023;255,49;Eletro
CLI00204;14/07/2024;1285,7;Cama/Mesa/Banho
CLI00204;24/12/2024;367,49;Cama/Mesa/Banho
CLI00205;11/11/2022;579,05;Eletro
CLI00205;15/01/2023;1372,2;Eletro
CLI00205;05/03/2023;477,31;Móveis
CLI00205;14/02/2024;894,96;Eletro
CLI00205;01/03/2024;1149,41;Cama/Mesa/Banho
CLI00205;12/03/2024;341,5;Móveis
CLI00205;31/03/2024;735,04;Informática
CLI00205;11/09/2024;493,46;Cama/Mesa/Banho
CLI00205;01/11/2024;655,24;Eletro
CLI00205;09/02/2025;1729,45;Móveis
CLI00207;24/06/2024;1168,15;Móveis
CLI00207;15/12/2024;1008,1;Móveis
CLI00207;22/11/2025;1210,4;Informática
CLI00207;28/11/2025;1084,06;Cama/Mesa/Banho
CLI00208;11/07/2024;591,59;Cama/Mesa/Banho
CLI00209;10/07/2024;527,63;Cama/Mesa/Banho
CLI00211;14/11/2024;528,18;Móveis
CLI00211;29/01/2025;1518,93;Eletro
CLI00212;08/01/2025;228,66;Informática
CLI00212;30/05/2025;1172,06;Cama/Mesa/Banho
CLI00214;02/12/2023;558,33;Eletro
CLI00214;25/11/2024;985,8;Informática
CLI00214;08/06/2025;713,94;Móveis
CLI00214;19/08/2025;1312,38;Cama/Mesa/Banho
CLI00214;27/09/2025;632,24;Eletro
CLI00216;06/01/2024;1880,28;Eletro
CLI00216;13/02/2024;409,55;Eletro
CLI00216;23/01/2026;3097,12;Informática
CLI00217;23/08/2024;651,47;Eletro
CLI00217;06/08/2025;1052,64;Móveis
CLI00221;14/12/2023;736,48;Eletro
CLI00221;06/06/2025;334,12;Móveis
CLI00221;19/08/2025;920,47;Cama/Mesa/Banho
CLI00222;06/07/2024;1109,63;Móveis
CLI00222;12/04/2025;713,37;Informática
CLI00222;06/03/2026;1592,59;Informática
CLI00223;16/10/2024;573,8;Cama/Mesa/Banho
CLI00223;23/02/2025;1582,72;Informática
CLI00223;15/07/2025;384,28;Móveis
CLI00225;12/06/2025;1020,96;Informática
CLI00226;23/10/2023;1531,91;Eletro
CLI00226;13/12/2025;1145,84;Eletro
CLI00227;04/06/2024;486,97;Informática
CLI00228;15/01/2025;990,24;Eletro
CLI00228;29/08/2025;185,17;Informática
CLI00229;15/01/2023;497,11;Móveis
CLI00230;05/05/2024;363,16;Eletro
CLI00230;26/08/2024;1269,31;Eletro
CLI00230;27/12/2024;687,28;Informática
CLI00230;21/03/2025;653,79;Informática
CLI00231;07/09/2023;984,12;Cama/Mesa/Banho
CLI00231;22/09/2023;636,28;Eletro
CLI00231;10/03/2024;773,38;Informática
CLI00231;09/09/2024;2022,16;Cama/Mesa/Banho
CLI00231;17/08/2025;310,56;Informática
CLI00231;14/12/2025;1566,29;Informática
CLI00231;27/12/2025;565,98;Móveis
CLI00232;22/04/2023;172,1;Eletro
CLI00232;27/11/2023;1914,24;Móveis
CLI00232;17/04/2024;692,62;Eletro
CLI00232;09/12/2024;1209,35;Cama/Mesa/Banho
CLI00232;14/02/2025;568,48;Eletro
CLI00232;25/06/2025;2118,6;Móveis
CLI00234;11/02/2025;599,98;Móveis
CLI00235;20/02/2025;1398,93;Cama/Mesa/Banho
CLI00235;25/01/2026;724,95;Móveis
CLI00236;02/01/2024;1882,54;Móveis
CLI00236;05/09/2024;675,96;Cama/Mesa/Banho
CLI00236;16/09/2024;633,94;Informática
CLI00236;09/10/2024;808,97;Informática
CLI00236;24/01/2025;1585,32;Eletro
CLI00236;25/07/2025;1233,37;Móveis
CLI00236;23/12/2025;815,2;Informática
CLI00238;14/02/2025;938,36;Móveis
CLI00239;21/11/2025;689,51;Eletro
CLI00241;21/09/2023;830,28;Informática
CLI00241;04/12/2025;957,46;Informática
CLI00241;09/03/2026;1423,73;Informática
CLI00248;29/01/2024;941,5;Eletro
CLI00249;14/09/2023;350,89;Cama/Mesa/Banho
CLI00249;25/12/2023;968,9;Eletro
CLI00250;15/09/2023;2045,32;Informática
CLI00250;12/09/2024;1250,52;Eletro
CLI00250;14/11/2025;728,61;Cama/Mesa/Banho
CLI00250;13/12/2025;1104,94;Informática
CLI00255;26/10/2024;807,04;Cama/Mesa/Banho
CLI00256;20/01/2024;949,25;Eletro
CLI00256;22/02/2024;233,26;Informática
CLI00256;29/04/2025;647,46;Eletro
CLI00258;29/03/2024;463,56;Informática
CLI00258;21/11/2024;421,47;Móveis
CLI00258;21/07/2025;1069,66;Cama/Mesa/Banho
CLI00258;13/09/2025;1423,6;Informática
CLI00258;24/09/2025;1757,49;Móveis
CLI00259;26/11/2023;781,36;Eletro
CLI00259;03/07/2024;373,36;Eletro
CLI00259;03/02/2025;748,29;Eletro
CLI00261;24/04/2025;1155,43;Eletro
CLI00261;17/08/2025;209,19;Cama/Mesa/Banho
CLI00261;05/09/2025;2102,73;Móveis
CLI00262;23/01/2024;174,93;Informática
CLI00264;16/08/2023;478,54;Cama/Mesa/Banho
CLI00264;15/10/2023;997,45;Informática
CLI00264;12/11/2023;301,72;Informática
CLI00264;31/05/2024;220,97;Eletro
CLI00264;11/11/2024;2089,14;Eletro
CLI00264;13/05/2025;1611,85;Móveis
CLI00266;07/07/2023;373,08;Móveis
CLI00266;24/10/2023;298,13;Cama/Mesa/Banho
CLI00266;03/05/2024;879,11;Informática
CLI00266;20/06/2024;2688,75;Eletro
CLI00266;08/12/2024;267,15;Cama/Mesa/Banho
CLI00272;08/08/2023;450,87;Móveis
CLI00272;23/09/2024;1004,0;Móveis
CLI00272;16/11/2024;755,9;Móveis
CLI00272;13/08/2025;914,31;Eletro
CLI00274;08/06/2025;298,58;Eletro
CLI00274;12/07/2025;303,97;Cama/Mesa/Banho
CLI00276;15/12/2023;2026,8;Eletro
CLI00276;30/12/2023;967,16;Informática
CLI00276;24/06/2024;1020,72;Móveis
CLI00276;29/06/2024;674,15;Eletro
CLI00276;08/08/2024;553,09;Informática
CLI00276;13/11/2024;409,1;Móveis
CLI00276;12/02/2025;270,88;Móveis
CLI00277;13/06/2024;126,25;Informática
CLI00277;27/08/2024;248,47;Informática
CLI00277;05/02/2026;363,94;Móveis
CLI00279;20/02/2023;434,65;Cama/Mesa/Banho
CLI00281;29/12/2023;755,87;Eletro
CLI00281;21/08/2024;1197,23;Informática
CLI00281;10/06/2025;358,52;Móveis
CLI00284;16/12/2023;268,4;Informática
CLI00284;26/03/2024;839,86;Eletro
CLI00286;17/04/2024;926,94;Cama/Mesa/Banho
CLI00286;28/05/2024;359,3;Móveis
CLI00286;23/06/2024;2077,86;Móveis
CLI00286;12/08/2024;375,11;Informática
CLI00286;03/10/2024;1092,41;Móveis
CLI00286;01/12/2025;348,03;Informática
CLI00286;05/12/2025;499,08;Cama/Mesa/Banho
CLI00286;14/12/2025;761,98;Móveis
CLI00287;01/06/2023;1199,44;Informática
CLI00287;19/02/2024;531,34;Informática
CLI00291;05/12/2023;536,04;Informática
CLI00291;02/06/2024;600,71;Cama/Mesa/Banho
CLI00291;12/03/2026;835,07;Móveis
CLI00292;03/12/2023;254,44;Cama/Mesa/Banho
CLI00293;15/10/2023;431,35;Eletro
CLI00295;17/02/2024;1196,27;Cama/Mesa/Banho
CLI00295;08/12/2025;967,97;Informática
CLI00296;22/11/2022;496,18;Informática
CLI00296;05/08/2023;318,91;Cama/Mesa/Banho
CLI00296;07/03/2024;452,13;Cama/Mesa/Banho
CLI00296;05/11/2024;391,44;Cama/Mesa/Banho
CLI00296;13/11/2024;3032,52;Móveis
CLI00297;07/05/2025;2426,56;Móveis
CLI00297;12/06/2025;474,2;Eletro
CLI00297;29/07/2025;664,27;Informática
CLI00300;24/08/2023;760,23;Informática
CLI00300;24/08/2025;761,57;Cama/Mesa/Banho
CLI00302;31/05/2023;920,58;Informática
CLI00302;17/08/2023;631,27;Informática
CLI00302;05/09/2024;770,48;Informática
CLI00304;13/03/2024;225,58;Eletro
CLI00304;13/05/2025;1633,0;Informática
CLI00306;19/01/2026;197,85;Informática
CLI00307;26/07/2025;647,4;Informática
CLI00307;04/02/2026;836,02;Móveis
CLI00308;08/06/2023;1737,67;Informática
CLI00308;02/12/2023;938,32;Cama/Mesa/Banho
CLI00308;26/04/2024;255,12;Informática
CLI00308;09/05/2024;812,19;Informática
CLI00308;03/04/2025;960,02;Móveis
CLI00308;16/04/2025;267,49;Informática
CLI00310;03/10/2023;2423,21;Informática
CLI00310;03/03/2024;398,3;Móveis
CLI00310;07/10/2024;1423,73;Informática
CLI00310;05/06/2025;556,69;Informática
CLI00311;23/12/2024;955,56;Cama/Mesa/Banho
CLI00311;05/04/2025;521,57;Móveis
CLI00318;23/05/2025;974,96;Cama/Mesa/Banho
CLI00318;24/08/2025;2011,33;Móveis
CLI00320;18/10/2023;653,47;Eletro
CLI00321;28/03/2025;1080,73;Informática
CLI00321;11/05/2025;1509,95;Eletro
CLI00321;05/08/2025;2351,97;Eletro
CLI00322;01/09/2023;955,5;Móveis
CLI00322;19/02/2024;603,18;Cama/Mesa/Banho
CLI00322;08/05/2025;820,32;Eletro
CLI00322;23/08/2025;1542,54;Móveis
CLI00323;25/04/2023;3221,96;Móveis
CLI00323;13/06/2023;1153,38;Cama/Mesa/Banho
CLI00324;04/04/2025;883,96;Informática
CLI00324;07/10/2025;1067,3;Eletro
CLI00325;08/03/2023;754,45;Móveis
CLI00329;05/10/2023;565,7;Informática
CLI00331;14/10/2023;674,0;Informática
CLI00331;08/09/2024;4006,59;Informática
CLI00331;17/11/2024;1126,18;Informática
CLI00331;29/03/2025;948,84;Eletro
CLI00332;06/08/2023;633,68;Eletro
CLI00332;22/01/2024;399,65;Eletro
CLI00332;04/05/2025;522,64;Eletro
CLI00333;28/07/2023;1455,67;Eletro
CLI00333;09/06/2024;495,64;Móveis
CLI00333;24/09/2024;929,23;Eletro
CLI00333;30/06/2025;187,99;Móveis
CLI00333;25/07/2025;755,32;Informática
CLI00333;20/10/2025;1001,52;Móveis
CLI00333;08/12/2025;1519,74;Móveis
CLI00333;06/01/2026;1226,25;Cama/Mesa/Banho
CLI00334;18/06/2024;284,0;Informática
CLI00334;01/07/2025;613,34;Eletro
CLI00336;27/06/2025;254,27;Cama/Mesa/Banho
CLI00338;21/01/2024;362,36;Eletro
CLI00338;15/02/2024;2142,16;Eletro
CLI00338;23/09/2024;472,84;Eletro
CLI00338;06/01/2025;384,35;Informática
CLI00338;19/02/2025;1219,25;Móveis
CLI00338;27/02/2025;210,43;Móveis
CLI00338;13/03/2025;292,22;Eletro
CLI00338;05/10/2025;3421,64;Cama/Mesa/Banho
CLI00339;11/02/2024;705,73;Eletro
CLI00339;29/06/2024;861,18;Cama/Mesa/Banho
CLI00339;02/09/2024;989,59;Cama/Mesa/Banho
CLI00339;09/05/2025;2260,49;Móveis
CLI00339;10/03/2026;636,56;Eletro
CLI00343;23/08/2024;1250,87;Móveis
CLI00343;24/08/2024;557,16;Cama/Mesa/Banho
CLI00344;12/02/2025;422,03;Eletro
CLI00347;06/10/2023;310,72;Cama/Mesa/Banho
CLI00347;12/10/2023;945,87;Informática
CLI00347;04/11/2023;666,11;Eletro
CLI00347;14/03/2024;713,63;Informática
CLI00351;24/10/2023;1177,13;Cama/Mesa/Banho
CLI00351;04/12/2023;1074,6;Informática
CLI00351;12/02/2025;481,28;Móveis
CLI00356;16/03/2024;1363,56;Eletro
CLI00356;27/04/2024;865,23;Eletro
CLI00356;05/05/2024;256,5;Eletro
CLI00356;23/07/2025;1442,14;Cama/Mesa/Banho
CLI00356;09/11/2025;649,23;Móveis
CLI00357;21/09/2024;314,32;Eletro
CLI00357;25/12/2025;571,77;Cama/Mesa/Banho
CLI00358;13/03/2024;359,7;Informática
CLI00358;21/08/2024;902,51;Cama/Mesa/Banho
CLI00358;15/10/2024;468,58;Móveis
CLI00358;06/02/2026;1907,26;Informática
CLI00360;26/03/2024;549,2;Informática
CLI00360;16/04/2024;812,08;Cama/Mesa/Banho
CLI00360;11/05/2024;738,62;Eletro
CLI00360;06/09/2024;622,58;Cama/Mesa/Banho
CLI00360;13/07/2025;593,25;Cama/Mesa/Banho
CLI00362;28/09/2023;500,06;Eletro
CLI00364;20/07/2025;739,61;Informática
CLI00365;28/09/2024;1095,64;Móveis
CLI00365;30/10/2025;1163,98;Cama/Mesa/Banho
CLI00365;07/12/2025;1814,91;Móveis
CLI00365;19/01/2026;524,88;Cama/Mesa/Banho
CLI00366;18/11/2023;282,47;Cama/Mesa/Banho
CLI00369;10/04/2024;828,59;Cama/Mesa/Banho
CLI00369;05/08/2025;5308,52;Eletro
CLI00369;28/09/2025;1320,19;Informática
CLI00369;19/11/2025;2144,38;Informática
CLI00370;18/07/2023;1747,8;Móveis
CLI00370;04/10/2024;1189,14;Informática
CLI00370;19/06/2025;417,92;Eletro
