id_contrato;data_consulta;score;motivo_consulta
C00048;07/11/2025;677;Aprovacao de crediario
C00048;08/03/2026;268;Revisao de carteira
C00049;05/12/2024;718;Aprovacao de crediario
C00049;21/12/2025;228;Revisao de carteira
C00050;02/12/2024;714;Aprovacao de crediario
C00050;09/12/2025;214;Revisao de carteira
C00051;15/11/2024;659;Aprovacao de crediario
C00052;06/03/2025;626;Aprovacao de crediario
C00052;12/02/2026;231;Revisao de carteira
C00053;02/10/2025;658;Aprovacao de crediario
C00054;16/09/2025;642;Aprovacao de crediario
C00054;22/02/2026;740;Revisao de carteira
C00055;25/06/2025;767;Aprovacao de crediario
C00056;17/06/2025;641;Aprovacao de crediario
C00056;31/12/2025;276;Revisao de carteira
C00057;19/02/2025;855;Aprovacao de crediario
C00058;15/09/2025;734;Aprovacao de crediario
C00059;16/05/2025;668;Aprovacao de crediario
C00060;17/10/2025;725;Aprovacao de crediario
C00060;29/01/2026;384;Revisao de carteira
C00061;14/07/2024;665;Aprovacao de crediario
C00062;12/09/2025;623;Aprovacao de crediario
C00063;05/12/2024;613;Aprovacao de crediario
C00063;20/02/2026;236;Revisao de carteira
C00065;03/03/2025;548;Aprovacao de crediario
C00065;06/03/2026;624;Revisao de carteira
C00068;21/06/2024;735;Aprovacao de crediario
C00069;20/06/2024;845;Aprovacao de crediario
C00070;25/09/2024;765;Aprovacao de crediario
C00071;21/05/2025;826;Aprovacao de crediario
C00072;20/01/2025;424;Aprovacao de crediario
C00072;12/02/2026;250;Revisao de carteira
C00073;31/10/2024;662;Aprovacao de crediario
C00073;05/09/2025;260;Revisao de carteira
C00074;28/12/2024;708;Aprovacao de crediario
C00074;23/07/2025;276;Revisao de carteira
C00075;16/12/2024;724;Aprovacao de crediario
C00075;21/02/2026;578;Revisao de carteira
C00076;07/07/2024;790;Aprovacao de crediario
C00077;30/09/2025;487;Aprovacao de crediario
C00077;09/03/2026;250;Revisao de carteira
C00078;01/11/2025;604;Aprovacao de crediario
C00080;27/06/2025;672;Aprovacao de crediario
C00081;06/07/2024;548;Aprovacao de crediario
C00083;17/07/2024;505;Aprovacao de crediario
C00083;24/06/2025;302;Revisao de carteira
C00086;21/04/2025;725;Aprovacao de crediario
C00087;14/09/2024;622;Aprovacao de crediario
C00088;06/09/2024;689;Aprovacao de crediario
C00089;25/06/2025;738;Aprovacao de crediario
C00089;23/02/2026;207;Revisao de carteira
C00090;29/07/2025;641;Aprovacao de crediario
C00090;11/03/2026;222;Revisao de carteira
C00091;21/04/2025;855;Aprovacao de crediario
C00091;14/03/2026;740;Revisao de carteira
C00092;26/01/2025;782;Aprovacao de crediario
C00093;03/10/2025;844;Aprovacao de crediario
C00094;01/10/2025;616;Aprovacao de crediario
C00095;28/10/2025;749;Aprovacao de crediario
C00095;22/02/2026;240;Revisao de carteira
C00096;01/07/2025;854;Aprovacao de crediario
C00096;07/03/2026;675;Revisao de carteira
C00097;30/08/2024;595;Aprovacao de crediario
C00099;29/09/2025;793;Aprovacao de crediario
C00100;25/07/2024;730;Aprovacao de crediario
C00100;05/08/2025;598;Revisao de carteira
C00101;29/03/2025;783;Aprovacao de crediario
C00101;10/02/2026;167;Revisao de carteira
C00102;05/11/2024;855;Aprovacao de crediario
C00103;07/06/2025;742;Aprovacao de crediario
C00103;12/03/2026;745;Revisao de carteira
C00104;03/05/2025;484;Aprovacao de crediario
C00104;04/03/2026;297;Revisao de carteira
C00105;07/07/2024;716;Aprovacao de crediario
C00106;26/05/2025;858;Aprovacao de crediario
C00107;25/10/2024;541;Aprovacao de crediario
C00107;11/02/2026;200;Revisao de carteira
C00108;07/08/2025;737;Aprovacao de crediario
C00109;29/06/2025;536;Aprovacao de crediario
C00109;05/02/2026;351;Revisao de carteira
C00110;21/08/2024;1000;Aprovacao de crediario
C00111;23/02/2025;814;Aprovacao de crediario
C00111;12/02/2026;309;Revisao de carteira
C00112;01/11/2024;729;Aprovacao de crediario
C00112;10/05/2025;217;Revisao de carteira
C00113;19/05/2025;570;Aprovacao de crediario
C00113;02/02/2026;324;Revisao de carteira
C00114;01/08/2025;536;Aprovacao de crediario
C00114;09/03/2026;354;Revisao de carteira
C00115;24/10/2025;627;Aprovacao de crediario
C00116;03/11/2025;748;Aprovacao de crediario
C00117;13/05/2025;576;Aprovacao de crediario
C00118;08/07/2025;751;Aprovacao de crediario
C00119;23/10/2024;562;Aprovacao de crediario
C00120;04/08/2025;763;Aprovacao de crediario
C00120;28/02/2026;749;Revisao de carteira
C00121;01/09/2025;610;Aprovacao de crediario
C00121;22/02/2026;708;Revisao de carteira
C00122;20/07/2024;527;Aprovacao de crediario
C00123;24/10/2025;739;Aprovacao de crediario
C00123;24/02/2026;322;Revisao de carteira
C00124;05/11/2024;624;Aprovacao de crediario
C00125;11/09/2025;721;Aprovacao de crediario
C00126;09/05/2025;687;Aprovacao de crediario
C00126;01/03/2026;194;Revisao de carteira
C00127;26/11/2024;512;Aprovacao de crediario
C00127;05/10/2025;121;Revisao de carteira
C00128;16/07/2025;654;Aprovacao de crediario
C00128;31/01/2026;227;Revisao de carteira
C00129;01/09/2025;669;Aprovacao de crediario
C00129;13/03/2026;299;Revisao de carteira
C00130;05/09/2025;773;Aprovacao de crediario
C00130;26/02/2026;637;Revisao de carteira
C00131;03/08/2024;679;Aprovacao de crediario
C00132;28/06/2024;629;Aprovacao de crediario
C00132;18/05/2025;275;Revisao de carteira
C00133;04/08/2024;770;Aprovacao de crediario
C00133;31/08/2025;272;Revisao de carteira
C00134;23/02/2025;564;Aprovacao de crediario
C00134;06/02/2026;238;Revisao de carteira
C00135;19/08/2024;774;Aprovacao de crediario
C00136;01/08/2025;818;Aprovacao de crediario
C00138;03/10/2024;703;Aprovacao de crediario
C00138;27/08/2025;205;Revisao de carteira
C00139;15/08/2024;750;Aprovacao de crediario
C00139;18/07/2025;684;Revisao de carteira
C00140;03/04/2025;772;Aprovacao de crediario
C00141;22/08/2024;777;Aprovacao de crediario
C00141;30/07/2025;237;Revisao de carteira
C00142;30/06/2025;619;Aprovacao de crediario
C00144;09/08/2024;768;Aprovacao de crediario
C00144;25/02/2025;279;Revisao de carteira
C00146;21/07/2024;661;Aprovacao de crediario
C00149;30/07/2025;594;Aprovacao de crediario
C00150;01/01/2025;822;Aprovacao de crediario
C00150;25/02/2026;813;Revisao de carteira
C00151;12/03/2025;636;Aprovacao de crediario
C00152;27/05/2025;766;Aprovacao de crediario
C00152;12/02/2026;701;Revisao de carteira
C00153;02/10/2024;646;Aprovacao de crediario
C00153;17/10/2025;211;Revisao de carteira
C00154;06/10/2024;679;Aprovacao de crediario
C00154;25/08/2025;221;Revisao de carteira
C00155;03/05/2025;620;Aprovacao de crediario
C00155;25/02/2026;795;Revisao de carteira
C00156;22/10/2024;800;Aprovacao de crediario
C00158;11/10/2024;739;Aprovacao de crediario
C00159;20/02/2025;614;Aprovacao de crediario
C00160;10/10/2025;621;Aprovacao de crediario
C00161;24/01/2025;950;Aprovacao de crediario
C00161;02/02/2026;751;Revisao de carteira
C00162;29/05/2025;662;Aprovacao de crediario
C00163;05/05/2025;700;Aprovacao de crediario
C00163;22/02/2026;272;Revisao de carteira
C00164;17/08/2024;843;Aprovacao de crediario
C00164;22/09/2025;192;Revisao de carteira
C00165;20/07/2025;576;Aprovacao de crediario
C00165;06/02/2026;264;Revisao de carteira
C00167;12/04/2025;591;Aprovacao de crediario
C00168;03/08/2025;833;Aprovacao de crediario
C00168;12/03/2026;286;Revisao de carteira
C00169;01/03/2025;564;Aprovacao de crediario
C00169;07/02/2026;265;Revisao de carteira
C00170;08/07/2025;866;Aprovacao de crediario
C00171;14/02/2025;678;Aprovacao de crediario
C00172;10/07/2024;615;Aprovacao de crediario
C00173;17/06/2025;642;Aprovacao de crediario
C00173;25/01/2026;613;Revisao de carteira
C00176;05/07/2024;575;Aprovacao de crediario
C00176;14/05/2025;192;Revisao de carteira
C00178;12/08/2025;806;Aprovacao de crediario
C00178;11/03/2026;212;Revisao de carteira
C00179;15/09/2025;881;Aprovacao de crediario
C00179;17/02/2026;202;Revisao de carteira
C00180;18/07/2024;643;Aprovacao de crediario
C00180;28/01/2025;321;Revisao de carteira
C00181;12/09/2024;724;Aprovacao de crediario
C00183;19/03/2025;774;Aprovacao de crediario
C00183;07/02/2026;694;Revisao de carteira
C00184;21/09/2024;692;Aprovacao de crediario
C00185;01/02/2025;603;Aprovacao de crediario
C00186;18/11/2024;768;Aprovacao de crediario
C00186;26/02/2026;665;Revisao de carteira
C00187;30/09/2024;750;Aprovacao de crediario
C00187;10/02/2026;729;Revisao de carteira
C00188;09/07/2025;817;Aprovacao de crediario
C00189;14/09/2024;724;Aprovacao de crediario
C00190;12/06/2024;692;Aprovacao de crediario
C00191;12/12/2024;830;Aprovacao de crediario
C00193;03/09/2024;753;Aprovacao de crediario
C00193;11/07/2025;242;Revisao de carteira
C00194;27/07/2025;535;Aprovacao de crediario
C00195;05/11/2024;607;Aprovacao de crediario
C00195;17/10/2025;686;Revisao de carteira
C00196;31/07/2025;589;Aprovacao de crediario
C00196;18/02/2026;805;Revisao de carteira
C00197;13/09/2024;714;Aprovacao de crediario
C00197;12/10/2025;247;Revisao de carteira
C00198;12/01/2025;697;Aprovacao de crediario
C00199;16/11/2024;997;Aprovacao de crediario
C00200;03/05/2025;790;Aprovacao de crediario
C00200;20/02/2026;650;Revisao de carteira
C00201;07/09/2025;545;Aprovacao de crediario
C00201;16/02/2026;296;Revisao de carteira
C00202;21/09/2024;459;Aprovacao de crediario
C00202;18/02/2026;293;Revisao de carteira
C00204;20/08/2025;763;Aprovacao de crediario
C00205;18/05/2025;697;Aprovacao de crediario
C00205;15/03/2026;293;Revisao de carteira
C00206;17/05/2025;725;Aprovacao de crediario
C00207;15/02/2025;700;Aprovacao de crediario
C00208;20/02/2025;875;Aprovacao de crediario
C00210;13/11/2025;845;Aprovacao de crediario
C00211;17/05/2025;600;Aprovacao de crediario
C00212;24/04/2025;633;Aprovacao de crediario
C00212;16/02/2026;168;Revisao de carteira
C00213;09/09/2025;745;Aprovacao de crediario
C00213;25/02/2026;253;Revisao de carteira
C00215;04/03/2025;746;Aprovacao de crediario
C00215;14/10/2025;151;Revisao de carteira
C00216;05/11/2025;843;Aprovacao de crediario
C00217;12/10/2024;814;Aprovacao de crediario
C00219;27/02/2025;644;Aprovacao de crediario
C00219;05/03/2026;300;Revisao de carteira
C00220;15/01/2025;789;Aprovacao de crediario
C00221;24/09/2025;634;Aprovacao de crediario
C00221;07/03/2026;306;Revisao de carteira
C00222;18/01/2025;601;Aprovacao de crediario
C00222;02/08/2025;223;Revisao de carteira
C00223;28/08/2025;673;Aprovacao de crediario
C00223;01/03/2026;281;Revisao de carteira
C00224;05/08/2025;599;Aprovacao de crediario
C00224;11/02/2026;244;Revisao de carteira
C00225;16/10/2024;675;Aprovacao de crediario
C00226;10/12/2024;652;Aprovacao de crediario
C00227;23/12/2024;734;Aprovacao de crediario
C00227;28/01/2026;328;Revisao de carteira
C00228;08/11/2025;711;Aprovacao de crediario
C00228;23/02/2026;212;Revisao de carteira
C00229;28/10/2024;923;Aprovacao de crediario
C00229;11/05/2025;671;Revisao de carteira
C00230;03/07/2024;299;Aprovacao de crediario
C00230;14/01/2025;183;Revisao de carteira
C00231;16/05/2025;520;Aprovacao de crediario
C00232;14/12/2024;767;Aprovacao de crediario
C00232;27/02/2026;169;Revisao de carteira
C00233;25/06/2024;772;Aprovacao de crediario
C00234;12/07/2024;562;Aprovacao de crediario
C00235;23/02/2025;707;Aprovacao de crediario
C00235;14/10/2025;690;Revisao de carteira
C00236;07/11/2024;686;Aprovacao de crediario
C00236;17/12/2025;704;Revisao de carteira
C00237;25/09/2025;683;Aprovacao de crediario
C00238;30/09/2024;838;Aprovacao de crediario
C00238;09/05/2025;249;Revisao de carteira
C00239;26/05/2025;705;Aprovacao de crediario
C00240;26/08/2024;694;Aprovacao de crediario
C00240;09/07/2025;845;Revisao de carteira
C00241;28/09/2024;631;Aprovacao de crediario
C00241;13/05/2025;673;Revisao de carteira
C00242;04/10/2025;714;Aprovacao de crediario
C00242;11/03/2026;272;Revisao de carteira
C00244;01/09/2024;697;Aprovacao de crediario
C00245;09/03/2025;472;Aprovacao de crediario
C00245;20/02/2026;246;Revisao de carteira
C00246;28/09/2025;643;Aprovacao de crediario
C00247;23/01/2025;670;Aprovacao de crediario
C00247;11/02/2026;741;Revisao de carteira
C00248;14/02/2025;687;Aprovacao de crediario
C00248;18/02/2026;684;Revisao de carteira
C00250;17/03/2025;652;Aprovacao de crediario
C00250;13/03/2026;675;Revisao de carteira
C00251;06/02/2025;829;Aprovacao de crediario
C00252;25/06/2024;504;Aprovacao de crediario
C00253;31/08/2024;682;Aprovacao de crediario
C00256;18/02/2025;706;Aprovacao de crediario
C00256;28/02/2026;287;Revisao de carteira
C00257;27/06/2025;712;Aprovacao de crediario
C00258;21/10/2025;790;Aprovacao de crediario
C00258;02/02/2026;281;Revisao de carteira
C00259;28/11/2024;579;Aprovacao de crediario
C00259;11/06/2025;309;Revisao de carteira
C00260;01/07/2024;565;Aprovacao de crediario
C00260;28/01/2025;238;Revisao de carteira
C00261;09/11/2025;698;Aprovacao de crediario
C00262;27/06/2025;732;Aprovacao de crediario
C00262;12/02/2026;328;Revisao de carteira
C00263;05/12/2024;912;Aprovacao de crediario
C00263;17/11/2025;702;Revisao de carteira
C00265;03/07/2025;728;Aprovacao de crediario
C00265;25/02/2026;293;Revisao de carteira
C00266;22/05/2025;623;Aprovacao de crediario
C00266;10/02/2026;251;Revisao de carteira
C00267;04/09/2024;683;Aprovacao de crediario
C00268;27/06/2024;715;Aprovacao de crediario
C00269;16/02/2025;670;Aprovacao de crediario
C00270;28/09/2024;635;Aprovacao de crediario
C00270;26/04/2025;244;Revisao de carteira
C00272;06/10/2024;726;Aprovacao de crediario
C00272;27/08/2025;290;Revisao de carteira
C00273;05/11/2025;662;Aprovacao de crediario
C00275;16/06/2025;762;Aprovacao de crediario
C00276;17/09/2025;693;Aprovacao de crediario
C00277;22/01/2025;746;Aprovacao de crediario
C00278;05/09/2024;563;Aprovacao de crediario
C00280;19/06/2024;781;Aprovacao de crediario
C00280;12/02/2025;705;Revisao de carteira
C00281;20/10/2025;731;Aprovacao de crediario
C00281;26/01/2026;769;Revisao de carteira
C00282;30/12/2024;530;Aprovacao de crediario
C00282;13/01/2026;286;Revisao de carteira
C00283;05/07/2024;682;Aprovacao de crediario
C00283;14/02/2025;251;Revisao de carteira
C00284;09/06/2025;803;Aprovacao de crediario
C00285;25/08/2024;608;Aprovacao de crediario
C00286;05/08/2025;594;Aprovacao de crediario
C00286;10/02/2026;256;Revisao de carteira
C00287;11/03/2025;800;Aprovacao de crediario
C00288;13/08/2025;643;Aprovacao de crediario
C00288;02/03/2026;821;Revisao de carteira
C00290;01/10/2025;783;Aprovacao de crediario
C00291;06/10/2025;706;Aprovacao de crediario
C00292;27/03/2025;658;Aprovacao de crediario
C00293;23/04/2025;617;Aprovacao de crediario
C00293;17/11/2025;260;Revisao de carteira
C00294;12/06/2024;720;Aprovacao de crediario
C00294;15/05/2025;332;Revisao de carteira
C00295;22/04/2025;703;Aprovacao de crediario
C00295;07/02/2026;330;Revisao de carteira
C00296;03/03/2025;782;Aprovacao de crediario
C00296;06/02/2026;698;Revisao de carteira
C00297;21/04/2025;812;Aprovacao de crediario
C00298;18/07/2025;713;Aprovacao de crediario
C00298;24/02/2026;269;Revisao de carteira
C00299;08/02/2025;669;Aprovacao de crediario
C00300;10/02/2025;601;Aprovacao de crediario
C00300;28/02/2026;256;Revisao de carteira
C00302;09/10/2025;854;Aprovacao de crediario
C00304;10/07/2025;780;Aprovacao de crediario
C00305;10/01/2025;899;Aprovacao de crediario
C00305;18/02/2026;706;Revisao de carteira
C00306;30/07/2024;677;Aprovacao de crediario
C00306;17/02/2025;212;Revisao de carteira
C00307;19/02/2025;745;Aprovacao de crediario
C00307;10/10/2025;619;Revisao de carteira
C00308;29/01/2025;692;Aprovacao de crediario
C00310;25/09/2025;794;Aprovacao de crediario
C00310;06/03/2026;738;Revisao de carteira
C00311;30/08/2025;593;Aprovacao de crediario
C00312;02/11/2025;752;Aprovacao de crediario
C00312;07/03/2026;281;Revisao de carteira
C00313;14/10/2024;631;Aprovacao de crediario
C00314;09/06/2025;714;Aprovacao de crediario
C00315;14/10/2024;614;Aprovacao de crediario
C00315;21/09/2025;345;Revisao de carteira
C00316;31/07/2024;689;Aprovacao de crediario
C00316;03/02/2026;346;Revisao de carteira
C00317;19/10/2024;344;Aprovacao de crediario
C00317;25/05/2025;269;Revisao de carteira
C00318;04/08/2025;860;Aprovacao de crediario
C00318;24/02/2026;632;Revisao de carteira
C00319;14/12/2024;546;Aprovacao de crediario
C00320;21/06/2024;626;Aprovacao de crediario
C00320;01/07/2025;182;Revisao de carteira
C00321;23/07/2025;719;Aprovacao de crediario
C00321;15/03/2026;650;Revisao de carteira
C00322;29/09/2024;668;Aprovacao de crediario
C00322;26/02/2026;306;Revisao de carteira
C00324;10/04/2025;691;Aprovacao de crediario
C00324;04/03/2026;209;Revisao de carteira
C00326;12/06/2025;533;Aprovacao de crediario
C00327;17/04/2025;798;Aprovacao de crediario
C00328;01/11/2024;664;Aprovacao de crediario
C00328;22/11/2025;237;Revisao de carteira
C00329;30/05/2025;738;Aprovacao de crediario
C00329;02/03/2026;308;Revisao de carteira
C00330;05/11/2025;678;Aprovacao de crediario
C00331;09/09/2024;720;Aprovacao de crediario
C00331;15/03/2026;726;Revisao de carteira
C00332;06/07/2024;721;Aprovacao de crediario
C00333;20/09/2025;577;Aprovacao de crediario
C00333;12/02/2026;373;Revisao de carteira
C00335;03/02/2025;694;Aprovacao de crediario
C00335;11/01/2026;320;Revisao de carteira
C00336;13/09/2024;942;Aprovacao de crediario
C00336;09/05/2025;839;Revisao de carteira
C00337;14/08/2024;631;Aprovacao de crediario
C00337;21/09/2025;230;Revisao de carteira
C00338;14/10/2025;776;Aprovacao de crediario
C00338;05/02/2026;753;Revisao de carteira
C00339;04/04/2025;927;Aprovacao de crediario
C00339;19/02/2026;754;Revisao de carteira
C00340;26/06/2025;522;Aprovacao de crediario
C00340;14/02/2026;820;Revisao de carteira
C00342;27/06/2024;940;Aprovacao de crediario
C00343;11/07/2024;937;Aprovacao de crediario
C00344;29/01/2025;439;Aprovacao de crediario
C00344;11/12/2025;273;Revisao de carteira
C00345;27/10/2025;767;Aprovacao de crediario
C00345;12/02/2026;130;Revisao de carteira
C00346;25/10/2025;802;Aprovacao de crediario
C00346;04/02/2026;260;Revisao de carteira
C00347;06/06/2025;622;Aprovacao de crediario
C00348;11/04/2025;737;Aprovacao de crediario
C00349;28/10/2024;682;Aprovacao de crediario
C00349;09/09/2025;312;Revisao de carteira
C00350;11/04/2025;875;Aprovacao de crediario
C00350;26/02/2026;207;Revisao de carteira
C00351;21/09/2024;846;Aprovacao de crediario
C00352;02/03/2025;663;Aprovacao de crediario
C00354;26/09/2025;717;Aprovacao de crediario
C00355;24/03/2025;669;Aprovacao de crediario
C00356;13/08/2025;688;Aprovacao de crediario
C00357;23/04/2025;777;Aprovacao de crediario
C00362;17/02/2025;711;Aprovacao de crediario
C00362;06/09/2025;219;Revisao de carteira
C00363;06/02/2025;624;Aprovacao de crediario
C00364;19/10/2025;804;Aprovacao de crediario
C00364;02/03/2026;228;Revisao de carteira
C00365;09/04/2025;596;Aprovacao de crediario
C00365;21/02/2026;318;Revisao de carteira
C00366;22/11/2024;621;Aprovacao de crediario
C00367;18/10/2025;568;Aprovacao de crediario
C00367;04/03/2026;246;Revisao de carteira
C00368;05/07/2024;741;Aprovacao de crediario
C00371;29/04/2025;711;Aprovacao de crediario
C00371;05/12/2025;710;Revisao de carteira
C00372;21/11/2024;736;Aprovacao de crediario
C00372;05/02/2026;265;Revisao de carteira
C00373;24/07/2024;769;Aprovacao de crediario
C00373;26/01/2026;166;Revisao de carteira
C00375;31/08/2024;638;Aprovacao de crediario
C00376;11/01/2025;789;Aprovacao de crediario
C00376;09/03/2026;728;Revisao de carteira
C00377;29/10/2025;659;Aprovacao de crediario
C00378;02/10/2024;693;Aprovacao de crediario
C00379;05/10/2025;571;Aprovacao de crediario
C00379;23/02/2026;223;Revisao de carteira
C00380;01/11/2024;838;Aprovacao de crediario
C00381;20/10/2024;404;Aprovacao de crediario
C00381;30/09/2025;288;Revisao de carteira
C00382;13/07/2024;617;Aprovacao de crediario
C00383;29/06/2025;777;Aprovacao de crediario
C00383;14/03/2026;780;Revisao de carteira
C00384;06/07/2025;727;Aprovacao de crediario
C00384;24/02/2026;240;Revisao de carteira
C00385;11/10/2024;703;Aprovacao de crediario
C00385;18/09/2025;194;Revisao de carteira
C00386;19/07/2025;614;Aprovacao de crediario
C00386;29/01/2026;826;Revisao de carteira
C00387;01/10/2025;759;Aprovacao de crediario
C00388;10/10/2025;792;Aprovacao de crediario
C00389;07/04/2025;638;Aprovacao de crediario
C00390;22/06/2024;693;Aprovacao de crediario
C00390;21/07/2025;301;Revisao de carteira
C00391;03/10/2024;704;Aprovacao de crediario
C00392;20/09/2024;600;Aprovacao de crediario
C00393;07/09/2025;588;Aprovacao de crediario
C00393;18/02/2026;199;Revisao de carteira
C00394;05/11/2024;676;Aprovacao de crediario
C00395;15/06/2024;715;Aprovacao de crediario
C00395;04/01/2026;838;Revisao de carteira
C00396;28/07/2025;758;Aprovacao de crediario
C00397;23/04/2025;654;Aprovacao de crediario
C00397;02/02/2026;172;Revisao de carteira
C00398;25/06/2025;562;Aprovacao de crediario
C00398;04/02/2026;175;Revisao de carteira
C00399;27/10/2024;685;Aprovacao de crediario
C00399;06/05/2025;752;Revisao de carteira
C00400;30/01/2025;384;Aprovacao de crediario
C00400;29/08/2025;288;Revisao de carteira
C00401;21/12/2024;662;Aprovacao de crediario
C00401;14/01/2026;297;Revisao de carteira
C00402;21/07/2024;679;Aprovacao de crediario
C00403;26/06/2024;649;Aprovacao de crediario
C00404;05/11/2024;647;Aprovacao de crediario
C00404;07/02/2026;803;Revisao de carteira
C00405;24/06/2025;733;Aprovacao de crediario
C00407;31/10/2024;881;Aprovacao de crediario
C00408;19/12/2024;643;Aprovacao de crediario
C00409;23/06/2024;701;Aprovacao de crediario
C00410;19/04/2025;608;Aprovacao de crediario
C00411;02/07/2025;338;Aprovacao de crediario
C00411;06/02/2026;298;Revisao de carteira
C00412;14/01/2025;904;Aprovacao de crediario
C00413;02/03/2025;723;Aprovacao de crediario
C00414;08/07/2025;579;Aprovacao de crediario
C00414;11/03/2026;236;Revisao de carteira
C00415;21/07/2025;206;Aprovacao de crediario
C00415;25/02/2026;233;Revisao de carteira
C00416;30/06/2024;634;Aprovacao de crediario
C00416;16/01/2026;216;Revisao de carteira
C00417;09/06/2025;687;Aprovacao de crediario
C00418;26/03/2025;889;Aprovacao de crediario
C00420;06/01/2025;496;Aprovacao de crediario
C00420;07/03/2026;245;Revisao de carteira
C00421;09/10/2024;584;Aprovacao de crediario
C00422;02/08/2025;597;Aprovacao de crediario
C00423;13/04/2025;938;Aprovacao de crediario
C00424;09/08/2025;683;Aprovacao de crediario
C00425;29/04/2025;770;Aprovacao de crediario
C00425;16/12/2025;722;Revisao de carteira
C00427;12/07/2025;682;Aprovacao de crediario
C00427;08/03/2026;280;Revisao de carteira
C00428;27/04/2025;776;Aprovacao de crediario
C00428;16/02/2026;777;Revisao de carteira
C00429;13/10/2025;492;Aprovacao de crediario
C00429;23/02/2026;387;Revisao de carteira
C00430;07/08/2024;752;Aprovacao de crediario
C00430;03/03/2025;190;Revisao de carteira
C00431;01/12/2024;858;Aprovacao de crediario
C00431;06/01/2026;732;Revisao de carteira
C00432;03/07/2025;891;Aprovacao de crediario
C00433;23/06/2024;695;Aprovacao de crediario
C00435;07/08/2024;635;Aprovacao de crediario
C00435;12/09/2025;740;Revisao de carteira
C00436;02/04/2025;755;Aprovacao de crediario
C00436;02/11/2025;309;Revisao de carteira
C00437;02/12/2024;669;Aprovacao de crediario
C00438;23/10/2024;772;Aprovacao de crediario
C00439;18/08/2024;688;Aprovacao de crediario
C00439;24/09/2025;357;Revisao de carteira
C00440;02/04/2025;894;Aprovacao de crediario
C00441;28/10/2024;495;Aprovacao de crediario
C00441;06/11/2025;203;Revisao de carteira
C00442;17/09/2025;537;Aprovacao de crediario
C00442;13/02/2026;346;Revisao de carteira
C00443;14/07/2025;751;Aprovacao de crediario
C00444;11/11/2025;711;Aprovacao de crediario
C00445;14/03/2025;522;Aprovacao de crediario
C00446;21/06/2024;636;Aprovacao de crediario
C00446;23/07/2025;328;Revisao de carteira
C00447;20/04/2025;760;Aprovacao de crediario
C00447;14/02/2026;591;Revisao de carteira
