id_contrato;id_cliente;data_venda;loja;canal_venda;valor_total;n_parcelas;valor_parcela;bairro;sexo;idade;renda_declarada;status_contrato;data_snapshot
C00113;CLI02539;21/05/2025;Centro;Loja física;1872,14;12;156,01;Jd. America;F;48;1937,37;Inadimplente;15/03/2026
C00114;CLI01095;04/08/2025;Shopping Norte;Site;1511,53;10;151,15;Vila Progresso;M;18;985,99;Inadimplente;15/03/2026
C00115;CLI00207;27/10/2025;Centro;Loja física;2038,71;12;169,89;Jardim Botânico;F;51;1507,03;Em dia;15/03/2026
C00116;CLI02341;04/11/2025;Zona Leste;Loja física;1310,28;10;131,03;Jardim América;F;20;4393,41;Em dia;15/03/2026
C00117;CLI02526;15/05/2025;Centro;Loja física;4590,32;18;255,02;Bela Vista;M;38;5400,41;Em dia;15/03/2026
C00118;CLI02354;08/07/2025;Centro;Loja física;2684,92;10;268,49;Parque das Flores;M;56;2013,2;Inadimplente;15/03/2026
C00119;CLI00737;23/10/2024;Shopping Norte;Televendas;2032,83;6;338,8;Cidade Nova;F;36;3353,67;Inadimplente;15/03/2026
C00120;CLI02107;06/08/2025;Centro;Loja física;2173,54;18;120,75;Centro;F;33;2429,23;Inadimplente;15/03/2026
C00121;CLI02149;04/09/2025;Online;Loja física;2208,42;18;122,69;Jardim América;M;42;2632,17;Em dia;15/03/2026
C00122;CLI01828;20/07/2024;Zona Leste;Loja física;2227,09;10;222,71;Vila Progresso;F;48;1840,96;Inadimplente;15/03/2026
C00123;CLI01593;26/10/2025;Zona Leste;Televendas;1478,06;24;61,59;Cidade Nova;F;47;900,0;Inadimplente;15/03/2026
C00124;CLI01254;05/11/2024;Zona Leste;Loja física;5477,21;18;304,29;Centro;F;48;4264,42;Em dia;15/03/2026
C00125;CLI00463;12/09/2025;Zona Leste;Loja física;1169,47;6;194,91;Vila Progresso;M;18;1712,04;Inadimplente;15/03/2026
C00126;CLI02483;12/05/2025;Zona Leste;Loja física;1584,59;12;132,05;Bela Vista;M;53;2067,86;Inadimplente;15/03/2026
C00127;CLI01682;28/11/2024;Shopping Norte;Loja física;2485,23;10;248,52;Parque das Flores;F;34;2850,68;Inadimplente;15/03/2026
C00128;CLI01476;19/07/2025;Zona Leste;Loja física;1269,61;12;105,8;Jd. America;M;32;2890,94;Inadimplente;15/03/2026
C00129;CLI01539;04/09/2025;Online;Loja física;1948,23;12;162,35;Vila Progresso;M;40;2216,27;Inadimplente;15/03/2026
C00130;CLI02302;05/09/2025;Zona Leste;Loja física;1475,66;24;61,49;Alto da Serra;F;47;5096,01;Em dia;15/03/2026
C00131;CLI00980;06/08/2024;Zona Leste;Televendas;2880,72;6;480,12;Jardim Botânico;M;50;1739,35;Quitado;15/03/2026
C00132;CLI00540;29/06/2024;Shopping Norte;Loja física;1110,21;10;111,02;Alto da Serra;M;48;1297,11;Inadimplente;15/03/2026
C00133;CLI01904;04/08/2024;Centro;Loja física;2332,91;12;194,41;Vila Progresso;M;57;3366,09;Inadimplente;15/03/2026
C00134;CLI01443;25/02/2025;Centro;Televendas;2771,2;12;230,93;Bela Vista;F;57;2666,33;Inadimplente;15/03/2026
C00135;CLI00749;22/08/2024;Zona Leste;Loja física;3521,51;6;586,92;Cidade Nova;F;32;3256,2;Quitado;15/03/2026
C00136;CLI01694;03/08/2025;Zona Leste;Loja física;2098,12;18;116,56;Centro;F;27;3002,97;Inadimplente;15/03/2026
C00138;CLI00894;06/10/2024;Shopping Norte;Loja física;3588,67;10;358,87;Jardim América;M;50;3348,71;Inadimplente;15/03/2026
C00139;CLI01328;17/08/2024;Zona Leste;Site;829,09;10;82,91;Parque das Flores;M;61;1944,18;Quitado;15/03/2026
C00140;CLI01306;04/04/2025;Zona Leste;Site;1713,7;12;142,81;Cidade Nova;F;53;3551,91;Em dia;15/03/2026
C00141;CLI02552;25/08/2024;Shopping Norte;Televendas;3285,09;10;328,51;Centro;F;18;2624,96;Inadimplente;15/03/2026
C00142;CLI01683;01/07/2025;Shopping Norte;Loja física;1311,83;18;72,88;Parque das Flores;F;47;2437,12;Inadimplente;15/03/2026
C00144;CLI02391;09/08/2024;Shopping Norte;Loja física;4174,69;6;695,78;Jardim América;F;55;4793,28;Inadimplente;15/03/2026
C00146;CLI01695;23/07/2024;Shopping Norte;Site;2895,04;12;241,25;Centro;M;62;4494,9;Quitado;15/03/2026
C00149;CLI02685;30/07/2025;Online;Site;2480,08;10;248,01;Jardim América;F;46;2283,31;Em dia;15/03/2026
C00150;CLI00987;04/01/2025;Zona Leste;Loja física;841,03;18;46,72;Jardim Botânico;F;41;2919,4;Em dia;15/03/2026
C00151;CLI00132;12/03/2025;Zona Leste;Loja física;1120,53;12;93,38;Jardim América;F;28;4647,21;Quitado;15/03/2026
C00152;CLI00921;30/05/2025;Shopping Norte;Loja física;2477,46;12;206,46;Jardim Botânico;M;18;2031,62;Em dia;15/03/2026
C00153;CLI00323;02/10/2024;Centro;Loja física;1747,84;12;145,65;Centro;F;39;2665,15;Inadimplente;15/03/2026
C00154;CLI00120;09/10/2024;Zona Leste;Loja física;1000,56;10;100,06;Cidade Nova;F;52;1809,9;Inadimplente;15/03/2026
C00155;CLI02496;03/05/2025;Zona Leste;Loja física;2545,12;18;141,4;Alto da Serra;F;44;4603,39;Em dia;15/03/2026
C00156;CLI01066;24/10/2024;Zona Leste;Loja física;706,0;18;39,22;Cidade Nova;M;43;1835,68;Em dia;15/03/2026
C00158;CLI02678;13/10/2024;Online;Loja física;2955,85;18;164,21;Cidade Nova;F;45;1820,26;Inadimplente;15/03/2026
C00159;CLI02336;22/02/2025;Shopping Norte;Loja física;1968,49;18;109,36;Jardim América;M;28;2384,09;Em dia;15/03/2026
C00160;CLI00965;13/10/2025;Online;Loja física;1019,17;18;56,62;Vila Progresso;F;23;3504,65;Inadimplente;15/03/2026
C00161;CLI00250;25/01/2025;Zona Leste;Televendas;588,58;18;32,7;Jardim América;M;33;4987,28;Em dia;15/03/2026
C00162;CLI02423;31/05/2025;Centro;Site;1897,64;10;189,76;Parque das Flores;F;52;5215,51;Em dia;15/03/2026
C00163;CLI01440;08/05/2025;Shopping Norte;Site;1862,48;18;103,47;Vila Progresso;F;34;3172,44;Inadimplente;15/03/2026
C00164;CLI02331;18/08/2024;Centro;Site;2243,11;12;186,93;Jd. America;F;30;1758,14;Inadimplente;15/03/2026
C00165;CLI00632;23/07/2025;Zona Leste;Televendas;3662,64;24;152,61;Vila Progresso;M;42;2329,52;Inadimplente;15/03/2026
C00167;CLI00595;15/04/2025;Centro;Loja física;4367,4;24;181,98;Jd. America;F;33;1656,06;Inadimplente;15/03/2026
C00168;CLI00303;05/08/2025;Zona Leste;Site;1431,6;12;119,3;Parque das Flores;F;19;2963,42;Inadimplente;15/03/2026
C00169;CLI00216;03/03/2025;Shopping Norte;Loja física;6963,81;18;386,88;Centro;M;28;2904,39;Inadimplente;15/03/2026
C00170;CLI00343;10/07/2025;Online;Site;1353,91;6;225,65;Jardim Botânico;F;26;2373,58;Quitado;15/03/2026
C00171;CLI02463;17/02/2025;Zona Leste;Loja física;3100,36;12;258,36;Jardim Botânico;M;55;3015,92;Quitado;15/03/2026
C00172;CLI00971;13/07/2024;Shopping Norte;Loja física;3096,36;6;516,06;Parque das Flores;M;20;1935,92;Inadimplente;15/03/2026
C00173;CLI01580;17/06/2025;Online;Loja física;1899,09;6;316,52;Jardim América;M;26;3998,57;Quitado;15/03/2026
C00176;CLI00370;08/07/2024;Shopping Norte;Loja física;1797,4;10;179,74;Centro;F;68;2085,95;Inadimplente;15/03/2026
C00178;CLI01692;13/08/2025;Online;Loja física;2134,02;10;213,4;Vila Progresso;M;18;2054,38;Inadimplente;15/03/2026
C00179;CLI02129;18/09/2025;Zona Leste;Televendas;2253,07;12;187,76;Alto da Serra;M;33;3324,8;Inadimplente;15/03/2026
C00180;CLI00684;20/07/2024;Centro;Loja física;1603,45;6;267,24;Alto da Serra;F;42;3145,22;Inadimplente;15/03/2026
C00181;CLI02682;15/09/2024;Shopping Norte;Loja física;3441,72;12;286,81;Bela Vista;F;49;2638,62;Quitado;15/03/2026
C00183;CLI00764;22/03/2025;Centro;Loja física;1034,9;12;86,24;Parque das Flores;M;40;5108,51;Em dia;15/03/2026
C00184;CLI00493;24/09/2024;Zona Leste;Loja física;1624,79;10;162,48;Alto da Serra;F;57;3011,97;Quitado;15/03/2026
C00185;CLI00266;01/02/2025;Shopping Norte;Loja física;1150,45;18;63,91;Jardim Botânico;M;47;1401,77;Inadimplente;15/03/2026
C00186;CLI00517;19/11/2024;Online;Site;4418,8;18;245,49;Vila Progresso;F;32;5236,18;Em dia;15/03/2026
C00187;CLI02073;01/10/2024;Shopping Norte;Loja física;3408,98;24;142,04;Vila Progresso;M;57;1684,21;Em dia;15/03/2026
C00188;CLI00095;11/07/2025;Centro;Loja física;1063,27;12;88,61;Parque das Flores;M;39;2688,76;Em dia;15/03/2026
C00189;CLI02576;17/09/2024;Shopping Norte;Loja física;963,13;24;40,13;Jardim América;F;28;2444,99;Inadimplente;15/03/2026
C00190;CLI00888;14/06/2024;Centro;Loja física;3354,76;24;139,78;Alto da Serra;F;44;5108,95;Em dia;15/03/2026
C00191;CLI00310;12/12/2024;Centro;Loja física;1664,09;10;166,41;Centro;M;43;2937,23;Quitado;15/03/2026
C00193;CLI01284;04/09/2024;Shopping Norte;Loja física;4044,15;10;404,42;Cidade Nova;F;29;1140,5;Inadimplente;15/03/2026
C00194;CLI01551;29/07/2025;Shopping Norte;Loja física;2020,11;6;336,68;Alto da Serra;M;52;2359,12;Inadimplente;15/03/2026
C00195;CLI02773;08/11/2024;Centro;Loja física;3753,49;10;375,35;Jardim América;M;56;2161,61;Quitado;15/03/2026
C00196;CLI02274;03/08/2025;Zona Leste;Televendas;2468,42;10;246,84;Cidade Nova;F;53;1443,5;Em dia;15/03/2026
C00197;CLI00645;15/09/2024;Zona Leste;Loja física;571,98;12;47,66;Jardim América;F;33;3343,73;Inadimplente;15/03/2026
C00198;CLI02499;14/01/2025;Online;Televendas;3371,9;12;280,99;Alto da Serra;F;73;4771,86;Quitado;15/03/2026
C00199;CLI01014;17/11/2024;Centro;Loja física;1023,11;18;56,84;Bela Vista;M;38;1942,45;Em dia;15/03/2026
C00200;CLI00308;06/05/2025;Zona Leste;Site;1347,38;12;112,28;Jardim América;F;24;2525,51;Em dia;15/03/2026
C00201;CLI01150;09/09/2025;Centro;Site;7420,88;12;618,41;Alto da Serra;F;42;2632,52;Inadimplente;15/03/2026
C00202;CLI00331;23/09/2024;Centro;Site;5809,01;24;242,04;Jardim América;M;39;4607,32;Inadimplente;15/03/2026
C00204;CLI02499;21/08/2025;Zona Leste;Loja física;1363,62;12;113,64;Parque das Flores;F;38;4328,27;Em dia;15/03/2026
C00205;CLI00882;19/05/2025;Centro;Loja física;1591,35;24;66,31;Jardim América;M;52;6106,58;Inadimplente;15/03/2026
C00206;CLI02306;18/05/2025;Shopping Norte;Loja física;4451,2;12;370,93;Bela Vista;F;54;3137,46;Inadimplente;15/03/2026
C00207;CLI02588;15/02/2025;Shopping Norte;Televendas;1775,46;6;295,91;Jd. America;F;43;4999,32;Quitado;15/03/2026
C00208;CLI00891;22/02/2025;Zona Leste;Loja física;1545,25;6;257,54;Cidade Nova;M;48;2167,79;Quitado;15/03/2026
C00210;CLI01876;15/11/2025;Centro;Loja física;2456,77;12;204,73;Bela Vista;F;44;5605,8;Em dia;15/03/2026
C00211;CLI00944;20/05/2025;Shopping Norte;Loja física;869,13;10;86,91;Vila Progresso;F;18;1880,49;Em dia;15/03/2026
C00212;CLI01613;25/04/2025;Zona Leste;Site;3374,22;12;281,18;Parque das Flores;F;50;1992,48;Inadimplente;15/03/2026
C00213;CLI02474;10/09/2025;Zona Leste;Loja física;2904,39;10;290,44;Parque das Flores;F;51;2425,13;Inadimplente;15/03/2026
C00215;CLI01759;04/03/2025;Zona Leste;Loja física;1828,94;6;304,82;Jardim Botânico;M;50;1495,53;Inadimplente;15/03/2026
C00216;CLI02559;05/11/2025;Centro;Loja física;1998,96;18;111,05;Jardim América;M;33;5926,15;Em dia;15/03/2026
C00217;CLI01154;12/10/2024;Zona Leste;Loja física;1953,96;12;162,83;Jardim América;F;49;3828,66;Inadimplente;15/03/2026
C00219;CLI00804;27/02/2025;Zona Leste;Site;3376,85;24;140,7;Alto da Serra;M;36;2357,06;Inadimplente;15/03/2026
C00220;CLI01275;18/01/2025;Zona Leste;Loja física;956,39;10;95,64;Alto da Serra;F;34;2892,53;Quitado;15/03/2026
C00221;CLI02126;24/09/2025;Online;Site;3413,38;18;189,63;Vila Progresso;F;44;1731,76;Inadimplente;15/03/2026
C00222;CLI00534;19/01/2025;Centro;Loja física;1508,35;6;251,39;Vila Progresso;F;50;2612,5;Inadimplente;15/03/2026
C00223;CLI00549;31/08/2025;Centro;Loja física;2860,89;12;238,41;Jardim Botânico;F;33;1706,67;Inadimplente;15/03/2026
C00224;CLI02782;07/08/2025;Zona Leste;Loja física;1068,28;24;44,51;Centro;F;41;1505,48;Inadimplente;15/03/2026
C00225;CLI01631;18/10/2024;Zona Leste;Loja física;1028,0;10;102,8;Vila Progresso;M;27;3317,77;Quitado;15/03/2026
C00226;CLI01401;10/12/2024;Centro;Loja física;1778,47;24;74,1;Parque das Flores;F;54;3294,73;Em dia;15/03/2026
C00227;CLI00250;25/12/2024;Shopping Norte;Loja física;2927,22;12;243,93;Cidade Nova;M;33;3426,3;Inadimplente;15/03/2026
C00228;CLI00219;09/11/2025;Online;Loja física;3316,63;24;138,19;Vila Progresso;F;65;2239,66;Inadimplente;15/03/2026
C00229;CLI02352;28/10/2024;Centro;Loja física;1067,74;6;177,96;Jardim Botânico;M;39;3188,22;Quitado;15/03/2026
C00230;CLI00351;04/07/2024;Zona Leste;Loja física;10054,38;6;1675,73;Parque das Flores;M;49;2542,6;Inadimplente;15/03/2026
C00231;CLI00717;16/05/2025;Shopping Norte;Loja física;1916,86;24;79,87;Jardim América;F;42;4024,16;Em dia;15/03/2026
