id_contrato;data_ocorrencia;tipo_ocorrencia;canal
C00072;02/11/2025;Segunda via de boleto;Loja
C00072;03/11/2025;Segunda via de boleto;Loja
C00072;08/01/2026;Segunda via de boleto;Loja
C00072;01/02/2026;Negociacao de divida;WhatsApp
C00073;15/12/2024;Atualizacao cadastral;Site
C00074;01/08/2025;Negociacao de divida;Telefone
C00075;08/11/2025;Solicitacao de assistencia tecnica;Site
C00075;14/11/2025;Duvida sobre produto;Site
C00077;19/02/2026;Negociacao de divida;WhatsApp
C00078;13/01/2026;Segunda via de boleto;WhatsApp
C00080;03/12/2025;Segunda via de boleto;WhatsApp
C00081;28/01/2025;Negociacao de divida;WhatsApp
C00083;21/11/2024;Segunda via de boleto;WhatsApp
C00083;01/12/2024;Segunda via de boleto;Telefone
C00083;12/12/2024;Segunda via de boleto;WhatsApp
C00083;05/06/2025;Negociacao de divida;Telefone
C00087;16/04/2025;Segunda via de boleto;Telefone
C00087;29/04/2025;Segunda via de boleto;Loja
C00089;20/02/2026;Negociacao de divida;Telefone
C00090;25/08/2025;Reclamacao de entrega;Loja
C00090;23/02/2026;Negociacao de divida;Telefone
C00092;14/12/2025;Solicitacao de assistencia tecnica;Telefone
C00093;30/11/2025;Atualizacao cadastral;Telefone
C00097;01/11/2024;Solicitacao de assistencia tecnica;Loja
C00099;10/03/2026;Atualizacao cadastral;Site
C00100;09/06/2025;Reclamacao de entrega;Telefone
C00101;22/06/2025;Segunda via de boleto;Loja
C00101;06/09/2025;Reclamacao de entrega;Loja
C00101;04/02/2026;Negociacao de divida;WhatsApp
C00104;13/05/2025;Duvida sobre produto;WhatsApp
C00104;13/07/2025;Reclamacao de entrega;Telefone
C00104;07/08/2025;Segunda via de boleto;Loja
C00105;01/05/2025;Duvida sobre produto;WhatsApp
C00106;08/08/2025;Duvida sobre produto;WhatsApp
C00107;11/09/2025;Segunda via de boleto;Telefone
C00107;10/02/2026;Negociacao de divida;Telefone
C00108;11/11/2025;Reclamacao de entrega;Telefone
C00108;13/01/2026;Segunda via de boleto;Loja
C00109;03/02/2026;Negociacao de divida;WhatsApp
C00110;06/10/2024;Reclamacao de entrega;WhatsApp
C00110;23/05/2025;Segunda via de boleto;WhatsApp
C00111;16/02/2026;Negociacao de divida;Telefone
C00114;10/11/2025;Duvida sobre produto;Telefone
C00117;25/05/2025;Atualizacao cadastral;Telefone
C00117;02/01/2026;Segunda via de boleto;Telefone
C00119;03/05/2025;Negociacao de divida;WhatsApp
C00120;27/10/2025;Segunda via de boleto;Telefone
C00121;02/10/2025;Segunda via de boleto;Loja
C00121;16/02/2026;Duvida sobre produto;Site
C00122;28/03/2025;Segunda via de boleto;Telefone
C00122;20/06/2025;Negociacao de divida;Telefone
C00125;13/10/2025;Segunda via de boleto;WhatsApp
C00125;20/12/2025;Segunda via de boleto;WhatsApp
C00127;24/06/2025;Segunda via de boleto;Telefone
C00128;21/07/2025;Segunda via de boleto;Telefone
C00128;19/11/2025;Segunda via de boleto;Loja
C00128;25/01/2026;Negociacao de divida;WhatsApp
C00131;23/10/2024;Segunda via de boleto;WhatsApp
C00132;07/01/2025;Solicitacao de assistencia tecnica;Loja
C00132;19/01/2025;Segunda via de boleto;Telefone
C00133;29/09/2024;Solicitacao de assistencia tecnica;Site
C00133;07/01/2025;Solicitacao de assistencia tecnica;Telefone
C00135;12/12/2024;Segunda via de boleto;Loja
C00141;19/03/2025;Reclamacao de entrega;WhatsApp
C00141;26/07/2025;Negociacao de divida;Telefone
C00144;22/11/2024;Segunda via de boleto;Telefone
C00144;01/04/2025;Duvida sobre produto;Telefone
C00146;18/03/2025;Reclamacao de entrega;Loja
C00149;28/12/2025;Segunda via de boleto;Telefone
C00152;16/10/2025;Reclamacao de entrega;Loja
C00153;26/11/2025;Reclamacao de entrega;Site
C00154;19/01/2025;Segunda via de boleto;WhatsApp
C00154;11/04/2025;Segunda via de boleto;WhatsApp
C00155;17/10/2025;Segunda via de boleto;Telefone
C00155;24/10/2025;Duvida sobre produto;Telefone
C00155;31/10/2025;Segunda via de boleto;Loja
C00155;04/12/2025;Duvida sobre produto;WhatsApp
C00156;07/07/2025;Reclamacao de entrega;WhatsApp
C00158;18/10/2025;Reclamacao de entrega;Loja
C00158;22/10/2025;Solicitacao de assistencia tecnica;WhatsApp
C00158;04/03/2026;Negociacao de divida;WhatsApp
C00160;21/10/2025;Solicitacao de assistencia tecnica;Site
C00162;18/02/2026;Solicitacao de assistencia tecnica;Site
C00164;09/04/2025;Duvida sobre produto;Site
C00164;05/05/2025;Atualizacao cadastral;Telefone
C00170;13/09/2025;Solicitacao de assistencia tecnica;Loja
C00171;16/12/2025;Segunda via de boleto;WhatsApp
C00172;08/08/2024;Segunda via de boleto;WhatsApp
C00172;09/12/2024;Segunda via de boleto;WhatsApp
C00172;20/01/2025;Negociacao de divida;Telefone
C00173;12/11/2025;Segunda via de boleto;Loja
C00176;05/10/2024;Duvida sobre produto;Telefone
C00176;31/01/2025;Segunda via de boleto;Telefone
C00176;26/04/2025;Segunda via de boleto;WhatsApp
C00176;26/05/2025;Negociacao de divida;Telefone
C00178;07/10/2025;Segunda via de boleto;Telefone
C00178;02/03/2026;Negociacao de divida;WhatsApp
C00179;14/02/2026;Negociacao de divida;Telefone
C00180;07/08/2024;Reclamacao de entrega;Telefone
C00180;22/08/2024;Segunda via de boleto;Telefone
C00180;04/01/2025;Segunda via de boleto;Loja
C00181;27/04/2025;Duvida sobre produto;Telefone
C00183;28/06/2025;Duvida sobre produto;WhatsApp
C00183;17/08/2025;Segunda via de boleto;WhatsApp
C00183;08/12/2025;Segunda via de boleto;Telefone
C00184;18/02/2025;Duvida sobre produto;Loja
C00185;03/02/2026;Negociacao de divida;WhatsApp
C00186;01/05/2025;Solicitacao de assistencia tecnica;Site
C00187;21/07/2025;Segunda via de boleto;WhatsApp
C00188;06/03/2026;Reclamacao de entrega;Telefone
C00189;01/05/2025;Duvida sobre produto;WhatsApp
C00189;17/07/2025;Segunda via de boleto;Telefone
C00189;04/01/2026;Reclamacao de entrega;WhatsApp
C00189;25/02/2026;Negociacao de divida;Telefone
C00190;11/08/2025;Segunda via de boleto;Loja
C00193;19/12/2024;Segunda via de boleto;Loja
C00194;28/08/2025;Duvida sobre produto;Telefone
C00194;02/02/2026;Duvida sobre produto;Site
C00195;12/02/2025;Segunda via de boleto;WhatsApp
C00197;24/06/2025;Reclamacao de entrega;WhatsApp
C00197;14/10/2025;Negociacao de divida;Telefone
C00198;13/03/2025;Duvida sobre produto;Loja
C00199;02/03/2026;Reclamacao de entrega;Telefone
C00200;01/08/2025;Solicitacao de assistencia tecnica;WhatsApp
C00201;17/02/2026;Negociacao de divida;Telefone
C00202;12/07/2025;Atualizacao cadastral;Site
C00202;02/02/2026;Negociacao de divida;WhatsApp
C00204;21/10/2025;Segunda via de boleto;WhatsApp
C00205;14/11/2025;Segunda via de boleto;Telefone
C00206;18/05/2025;Atualizacao cadastral;Telefone
C00206;05/03/2026;Negociacao de divida;WhatsApp
C00213;27/11/2025;Segunda via de boleto;WhatsApp
C00215;08/10/2025;Negociacao de divida;WhatsApp
C00219;04/09/2025;Segunda via de boleto;WhatsApp
C00219;05/10/2025;Segunda via de boleto;WhatsApp
C00221;28/12/2025;Segunda via de boleto;Telefone
C00221;01/01/2026;Segunda via de boleto;Loja
C00221;04/02/2026;Negociacao de divida;WhatsApp
C00222;07/08/2025;Atualizacao cadastral;Telefone
C00223;28/02/2026;Negociacao de divida;WhatsApp
C00224;29/08/2025;Segunda via de boleto;Telefone
C00224;18/01/2026;Segunda via de boleto;WhatsApp
C00227;08/09/2025;Duvida sobre produto;WhatsApp
C00227;19/01/2026;Negociacao de divida;WhatsApp
C00228;16/02/2026;Negociacao de divida;Telefone
C00229;10/04/2025;Duvida sobre produto;Site
C00230;27/08/2024;Segunda via de boleto;Telefone
C00230;19/01/2025;Negociacao de divida;Telefone
C00231;28/08/2025;Reclamacao de entrega;Site
C00233;09/07/2024;Duvida sobre produto;Site
C00234;11/03/2026;Negociacao de divida;Telefone
C00235;07/08/2025;Atualizacao cadastral;Site
C00235;22/10/2025;Duvida sobre produto;Telefone
C00236;24/10/2025;Atualizacao cadastral;Site
C00237;20/11/2025;Segunda via de boleto;WhatsApp
C00238;29/12/2024;Solicitacao de assistencia tecnica;Site
C00241;08/12/2024;Segunda via de boleto;WhatsApp
C00242;26/02/2026;Negociacao de divida;WhatsApp
C00242;05/03/2026;Reclamacao de entrega;Site
C00244;14/06/2025;Duvida sobre produto;Loja
C00244;06/08/2025;Reclamacao de entrega;WhatsApp
C00247;30/11/2025;Duvida sobre produto;WhatsApp
C00251;23/04/2025;Reclamacao de entrega;Telefone
C00252;24/01/2025;Segunda via de boleto;WhatsApp
C00252;01/06/2025;Segunda via de boleto;Telefone
C00253;16/11/2024;Segunda via de boleto;Loja
C00256;07/08/2025;Segunda via de boleto;Telefone
C00256;08/12/2025;Atualizacao cadastral;Loja
C00256;24/01/2026;Segunda via de boleto;Telefone
C00257;11/02/2026;Negociacao de divida;WhatsApp
C00258;13/02/2026;Negociacao de divida;Telefone
C00259;15/02/2025;Segunda via de boleto;WhatsApp
C00259;18/03/2025;Segunda via de boleto;Loja
C00261;25/12/2025;Solicitacao de assistencia tecnica;WhatsApp
C00262;02/01/2026;Atualizacao cadastral;Site
C00262;10/02/2026;Negociacao de divida;Telefone
C00263;30/04/2025;Solicitacao de assistencia tecnica;WhatsApp
C00265;30/07/2025;Segunda via de boleto;WhatsApp
C00265;08/02/2026;Negociacao de divida;WhatsApp
C00266;01/01/2026;Segunda via de boleto;Telefone
C00267;11/09/2025;Segunda via de boleto;Loja
C00268;03/08/2025;Solicitacao de assistencia tecnica;Site
C00270;13/01/2025;Segunda via de boleto;Loja
C00272;01/01/2025;Segunda via de boleto;WhatsApp
C00272;17/05/2025;Atualizacao cadastral;WhatsApp
C00272;15/07/2025;Segunda via de boleto;Telefone
C00272;22/08/2025;Negociacao de divida;Telefone
C00273;11/12/2025;Segunda via de boleto;WhatsApp
C00275;08/12/2025;Reclamacao de entrega;WhatsApp
C00275;13/12/2025;Solicitacao de assistencia tecnica;WhatsApp
C00276;31/12/2025;Duvida sobre produto;WhatsApp
C00277;18/09/2025;Segunda via de boleto;Telefone
C00278;01/01/2026;Atualizacao cadastral;Site
C00281;25/10/2025;Atualizacao cadastral;WhatsApp
C00282;22/11/2025;Segunda via de boleto;Telefone
C00282;01/01/2026;Negociacao de divida;WhatsApp
C00283;23/08/2024;Segunda via de boleto;WhatsApp
C00283;23/12/2024;Segunda via de boleto;Telefone
C00283;20/01/2025;Negociacao de divida;WhatsApp
C00284;04/11/2025;Reclamacao de entrega;Telefone
C00286;09/10/2025;Segunda via de boleto;Telefone
C00286;09/03/2026;Negociacao de divida;Telefone
C00287;21/02/2026;Negociacao de divida;WhatsApp
C00288;04/11/2025;Segunda via de boleto;WhatsApp
C00290;12/10/2025;Segunda via de boleto;WhatsApp
C00290;23/02/2026;Negociacao de divida;Telefone
C00292;25/12/2025;Segunda via de boleto;WhatsApp
C00292;23/02/2026;Negociacao de divida;Telefone
C00293;04/09/2025;Segunda via de boleto;Telefone
C00294;21/03/2025;Segunda via de boleto;Loja
C00294;13/05/2025;Negociacao de divida;WhatsApp
C00295;16/06/2025;Segunda via de boleto;WhatsApp
C00295;07/02/2026;Negociacao de divida;Telefone
C00298;30/11/2025;Segunda via de boleto;WhatsApp
C00299;13/06/2025;Duvida sobre produto;Site
C00305;24/10/2025;Segunda via de boleto;Telefone
C00306;13/10/2024;Segunda via de boleto;Loja
C00306;14/11/2024;Segunda via de boleto;Loja
C00306;07/01/2025;Segunda via de boleto;Telefone
C00310;20/12/2025;Segunda via de boleto;Telefone
C00312;03/03/2026;Negociacao de divida;WhatsApp
C00313;12/01/2026;Segunda via de boleto;WhatsApp
C00316;06/07/2025;Segunda via de boleto;WhatsApp
C00316;22/10/2025;Segunda via de boleto;Loja
C00316;21/02/2026;Negociacao de divida;WhatsApp
C00317;06/03/2025;Segunda via de boleto;Telefone
C00317;18/05/2025;Negociacao de divida;Telefone
C00320;30/06/2025;Negociacao de divida;WhatsApp
C00320;11/08/2025;Solicitacao de assistencia tecnica;Telefone
C00322;31/07/2025;Segunda via de boleto;WhatsApp
C00322;08/09/2025;Solicitacao de assistencia tecnica;Site
C00322;30/01/2026;Negociacao de divida;WhatsApp
C00324;14/11/2025;Atualizacao cadastral;Telefone
C00324;24/02/2026;Negociacao de divida;Telefone
C00326;31/08/2025;Atualizacao cadastral;Site
C00326;14/09/2025;Segunda via de boleto;WhatsApp
C00326;15/09/2025;Reclamacao de entrega;Site
C00326;02/10/2025;Segunda via de boleto;Telefone
C00326;19/10/2025;Segunda via de boleto;Loja
C00326;11/01/2026;Segunda via de boleto;Loja
C00327;05/09/2025;Segunda via de boleto;WhatsApp
C00327;17/11/2025;Segunda via de boleto;Telefone
C00328;08/01/2025;Atualizacao cadastral;Site
C00328;27/02/2025;Duvida sobre produto;Site
C00328;12/03/2025;Duvida sobre produto;Site
C00328;16/12/2025;Solicitacao de assistencia tecnica;Site
C00329;04/07/2025;Atualizacao cadastral;Loja
C00329;04/02/2026;Negociacao de divida;WhatsApp
C00332;25/03/2025;Solicitacao de assistencia tecnica;WhatsApp
C00332;23/06/2025;Atualizacao cadastral;Telefone
C00335;06/02/2025;Duvida sobre produto;Telefone
C00335;30/10/2025;Duvida sobre produto;WhatsApp
C00336;07/02/2025;Solicitacao de assistencia tecnica;Loja
C00337;08/06/2025;Segunda via de boleto;Loja
C00337;04/07/2025;Segunda via de boleto;WhatsApp
C00337;28/07/2025;Atualizacao cadastral;WhatsApp
C00337;17/08/2025;Negociacao de divida;Telefone
C00342;04/12/2024;Solicitacao de assistencia tecnica;Loja
C00342;23/12/2024;Atualizacao cadastral;Telefone
C00343;12/03/2025;Atualizacao cadastral;Site
C00344;25/06/2025;Segunda via de boleto;Telefone
C00346;17/02/2026;Negociacao de divida;Telefone
C00348;17/04/2025;Atualizacao cadastral;WhatsApp
C00348;30/08/2025;Segunda via de boleto;Loja
C00349;05/08/2025;Segunda via de boleto;WhatsApp
C00349;15/09/2025;Negociacao de divida;WhatsApp
C00352;02/10/2025;Solicitacao de assistencia tecnica;Loja
C00354;19/10/2025;Segunda via de boleto;Telefone
C00354;28/02/2026;Negociacao de divida;WhatsApp
C00355;01/09/2025;Duvida sobre produto;Telefone
C00355;24/11/2025;Solicitacao de assistencia tecnica;Loja
C00355;27/01/2026;Negociacao de divida;WhatsApp
C00356;10/09/2025;Segunda via de boleto;WhatsApp
C00356;02/11/2025;Reclamacao de entrega;Site
C00362;24/08/2025;Negociacao de divida;Telefone
C00363;30/08/2025;Atualizacao cadastral;WhatsApp
C00364;26/02/2026;Negociacao de divida;Telefone
C00366;03/08/2025;Segunda via de boleto;Telefone
C00366;03/12/2025;Duvida sobre produto;Loja
C00367;17/02/2026;Negociacao de divida;Telefone
C00368;02/03/2025;Duvida sobre produto;Loja
C00371;03/07/2025;Solicitacao de assistencia tecnica;Site
C00372;08/12/2025;Duvida sobre produto;Site
C00372;14/02/2026;Negociacao de divida;Telefone
C00373;14/05/2025;Atualizacao cadastral;Telefone
C00375;03/05/2025;Duvida sobre produto;Site
C00375;11/08/2025;Segunda via de boleto;WhatsApp
C00375;11/11/2025;Atualizacao cadastral;Site
C00377;17/12/2025;Segunda via de boleto;Loja
C00378;27/06/2025;Segunda via de boleto;WhatsApp
C00378;23/12/2025;Atualizacao cadastral;Telefone
C00379;10/03/2026;Solicitacao de assistencia tecnica;Site
C00379;15/03/2026;Negociacao de divida;Telefone
C00380;11/05/2025;Reclamacao de entrega;Site
C00380;29/09/2025;Atualizacao cadastral;Loja
C00380;13/01/2026;Segunda via de boleto;WhatsApp
C00381;10/03/2025;Atualizacao cadastral;Site
C00381;23/05/2025;Segunda via de boleto;Loja
C00381;25/07/2025;Segunda via de boleto;Telefone
C00381;30/07/2025;Atualizacao cadastral;Loja
C00381;09/09/2025;Negociacao de divida;Telefone
C00382;11/06/2025;Duvida sobre produto;Telefone
C00383;03/07/2025;Segunda via de boleto;Loja
C00383;20/10/2025;Solicitacao de assistencia tecnica;Loja
C00383;12/01/2026;Solicitacao de assistencia tecnica;Site
C00384;11/01/2026;Reclamacao de entrega;WhatsApp
C00384;28/02/2026;Negociacao de divida;WhatsApp
C00384;11/03/2026;Reclamacao de entrega;Telefone
C00385;09/01/2025;Segunda via de boleto;WhatsApp
C00385;02/03/2025;Segunda via de boleto;Loja
C00385;07/07/2025;Segunda via de boleto;Telefone
C00387;20/10/2025;Reclamacao de entrega;Site
C00389;24/07/2025;Segunda via de boleto;WhatsApp
C00389;11/08/2025;Segunda via de boleto;Loja
C00389;19/12/2025;Segunda via de boleto;Telefone
C00390;21/07/2025;Negociacao de divida;WhatsApp
C00391;06/07/2025;Segunda via de boleto;Telefone
C00392;09/03/2025;Segunda via de boleto;Loja
C00393;10/01/2026;Segunda via de boleto;WhatsApp
C00393;14/03/2026;Negociacao de divida;Telefone
C00394;11/01/2025;Atualizacao cadastral;Site
C00394;13/09/2025;Solicitacao de assistencia tecnica;Site
C00394;17/09/2025;Segunda via de boleto;WhatsApp
C00395;21/02/2025;Atualizacao cadastral;Telefone
C00395;27/06/2025;Reclamacao de entrega;Telefone
C00395;12/09/2025;Segunda via de boleto;WhatsApp
C00395;18/10/2025;Segunda via de boleto;WhatsApp
C00397;06/08/2025;Segunda via de boleto;Loja
C00397;08/02/2026;Reclamacao de entrega;Site
C00397;23/02/2026;Negociacao de divida;WhatsApp
C00398;22/08/2025;Duvida sobre produto;Loja
C00398;17/09/2025;Reclamacao de entrega;Telefone
C00398;12/02/2026;Negociacao de divida;Telefone
C00399;03/11/2024;Solicitacao de assistencia tecnica;WhatsApp
C00399;09/01/2025;Segunda via de boleto;Loja
C00400;07/04/2025;Atualizacao cadastral;Loja
C00400;18/05/2025;Reclamacao de entrega;Site
C00400;22/05/2025;Segunda via de boleto;WhatsApp
C00400;08/06/2025;Segunda via de boleto;Loja
C00400;28/06/2025;Segunda via de boleto;Loja
C00401;27/05/2025;Segunda via de boleto;WhatsApp
C00402;20/09/2025;Segunda via de boleto;Loja
C00403;15/10/2024;Atualizacao cadastral;Site
C00403;13/05/2025;Segunda via de boleto;WhatsApp
C00405;08/10/2025;Segunda via de boleto;WhatsApp
C00407;06/07/2025;Atualizacao cadastral;WhatsApp
C00408;10/07/2025;Reclamacao de entrega;Site
C00409;11/01/2025;Reclamacao de entrega;WhatsApp
C00409;28/01/2025;Solicitacao de assistencia tecnica;WhatsApp
C00409;10/02/2025;Solicitacao de assistencia tecnica;Site
C00409;31/03/2025;Segunda via de boleto;Telefone
C00409;26/07/2025;Negociacao de divida;WhatsApp
C00411;04/08/2025;Segunda via de boleto;Telefone
C00411;23/10/2025;Segunda via de boleto;Loja
C00413;30/09/2025;Reclamacao de entrega;Site
C00413;14/10/2025;Duvida sobre produto;WhatsApp
C00414;23/07/2025;Segunda via de boleto;Loja
C00415;25/10/2025;Segunda via de boleto;WhatsApp
C00415;13/02/2026;Negociacao de divida;Telefone
C00416;09/12/2025;Segunda via de boleto;WhatsApp
C00416;13/01/2026;Negociacao de divida;WhatsApp
C00417;07/03/2026;Reclamacao de entrega;Site
C00418;11/11/2025;Solicitacao de assistencia tecnica;WhatsApp
C00418;03/12/2025;Solicitacao de assistencia tecnica;WhatsApp
C00418;09/12/2025;Segunda via de boleto;Loja
C00420;04/03/2026;Negociacao de divida;WhatsApp
C00422;13/11/2025;Duvida sobre produto;WhatsApp
C00423;18/07/2025;Solicitacao de assistencia tecnica;Site
C00423;18/09/2025;Solicitacao de assistencia tecnica;WhatsApp
C00425;03/06/2025;Duvida sobre produto;Telefone
C00427;04/09/2025;Segunda via de boleto;WhatsApp
C00428;23/10/2025;Segunda via de boleto;Loja
C00430;23/02/2025;Negociacao de divida;Telefone
C00435;06/03/2025;Solicitacao de assistencia tecnica;Loja
C00436;08/10/2025;Negociacao de divida;Telefone
C00438;19/04/2025;Reclamacao de entrega;Loja
C00438;05/07/2025;Segunda via de boleto;WhatsApp
C00438;30/08/2025;Duvida sobre produto;Telefone
C00440;15/11/2025;Atualizacao cadastral;Site
C00440;24/11/2025;Atualizacao cadastral;Telefone
C00441;15/11/2025;Negociacao de divida;WhatsApp
C00442;12/10/2025;Segunda via de boleto;Telefone
C00442;14/11/2025;Reclamacao de entrega;Telefone
C00442;24/01/2026;Negociacao de divida;WhatsApp
C00443;07/08/2025;Solicitacao de assistencia tecnica;Loja
C00443;18/12/2025;Duvida sobre produto;Site
C00443;14/03/2026;Negociacao de divida;WhatsApp
C00444;20/01/2026;Segunda via de boleto;Loja
C00444;13/02/2026;Duvida sobre produto;Site
C00445;26/06/2025;Duvida sobre produto;Loja
C00446;17/01/2025;Solicitacao de assistencia tecnica;WhatsApp
C00446;21/01/2025;Segunda via de boleto;Telefone
C00446;20/07/2025;Negociacao de divida;WhatsApp
C00448;08/08/2025;Segunda via de boleto;Telefone
C00451;08/06/2025;Duvida sobre produto;Site
C00452;30/03/2025;Duvida sobre produto;Telefone
C00454;20/06/2025;Atualizacao cadastral;WhatsApp
C00454;06/07/2025;Segunda via de boleto;Telefone
C00454;07/10/2025;Negociacao de divida;WhatsApp
C00455;01/12/2025;Segunda via de boleto;Loja
C00456;15/02/2026;Negociacao de divida;Telefone
C00457;16/08/2025;Reclamacao de entrega;WhatsApp
C00457;10/11/2025;Segunda via de boleto;Telefone
C00457;03/12/2025;Segunda via de boleto;Telefone
C00457;04/01/2026;Segunda via de boleto;Loja
C00461;18/09/2025;Segunda via de boleto;WhatsApp
C00461;26/02/2026;Negociacao de divida;Telefone
C00463;07/09/2024;Reclamacao de entrega;Site
C00463;16/07/2025;Negociacao de divida;WhatsApp
C00466;24/02/2025;Atualizacao cadastral;Site
C00467;31/07/2024;Atualizacao cadastral;Telefone
C00467;19/08/2024;Segunda via de boleto;WhatsApp
C00467;08/10/2024;Segunda via de boleto;WhatsApp
C00467;23/10/2024;Segunda via de boleto;Telefone
C00467;08/12/2024;Segunda via de boleto;WhatsApp
C00467;18/02/2025;Negociacao de divida;WhatsApp
C00468;12/07/2025;Duvida sobre produto;WhatsApp
C00469;01/12/2024;Solicitacao de assistencia tecnica;WhatsApp
C00469;12/07/2025;Segunda via de boleto;WhatsApp
C00470;21/06/2025;Negociacao de divida;WhatsApp
C00471;02/10/2025;Segunda via de boleto;Telefone
C00472;05/03/2025;Solicitacao de assistencia tecnica;Site
C00476;10/12/2025;Segunda via de boleto;Loja
C00476;08/02/2026;Negociacao de divida;Telefone
C00477;12/02/2026;Negociacao de divida;WhatsApp
C00480;06/06/2025;Duvida sobre produto;Site
C00480;02/07/2025;Segunda via de boleto;Loja
C00481;16/04/2025;Duvida sobre produto;WhatsApp
C00481;06/05/2025;Reclamacao de entrega;Site
C00481;05/02/2026;Negociacao de divida;Telefone
C00483;14/11/2025;Segunda via de boleto;Loja
C00483;14/12/2025;Atualizacao cadastral;WhatsApp
C00483;05/02/2026;Negociacao de divida;Telefone
C00484;23/02/2025;Segunda via de boleto;Loja
C00485;11/11/2025;Atualizacao cadastral;Loja
C00485;02/12/2025;Segunda via de boleto;Telefone
C00485;07/02/2026;Duvida sobre produto;Site
C00488;08/12/2025;Segunda via de boleto;WhatsApp
C00488;26/01/2026;Duvida sobre produto;Site
C00489;15/12/2025;Segunda via de boleto;WhatsApp
C00489;18/02/2026;Negociacao de divida;WhatsApp
C00491;29/03/2025;Atualizacao cadastral;Site
C00492;19/06/2025;Segunda via de boleto;WhatsApp
