motivo_relatado;data_registro
Problemas de saúde;02/06/2025
Perda de emprego;13/05/2025
Nao recebeu o boleto ;28/10/2025
Desemprego;22/09/2025
Esqueceu o vencimento;24/03/2025
Nao recebeu o boleto ;26/01/2026
Separacao / divorcio;29/04/2025
Discordância do valor;26/08/2025
Perda de emprego;25/04/2025
Mudanca de endereco;10/02/2026
Reducao de renda;01/01/2026
Problema de saude;06/09/2025
Esquecimento;19/10/2025
Desemprego / reducao de renda;20/03/2025
Esqueceu o vencimento;16/02/2026
Outros;09/02/2026
Perda de emprego;05/07/2025
Desemprego / reducao de renda;06/10/2025
Nao recebeu o boleto ;22/02/2025
Esqueceu o vencimento;13/04/2025
Discordancia do valor;12/05/2025
Outros;16/02/2026
Mudanca de endereco;09/04/2025
Esqueceu o vencimento;11/05/2025
Problemas de saude na familia;07/03/2025
Nao recebeu o boleto ;13/08/2025
Mudanca de endereco;21/07/2025
Perda de emprego;09/12/2025
Separacao / divorcio;24/11/2025
Problemas de saude na familia;15/02/2025
Desemprego / reducao de renda;31/12/2025
Reducao de renda;05/01/2026
Discordância do valor;06/07/2025
Esqueceu o vencimento;15/09/2025
Discordancia do valor;15/02/2026
Outros;13/10/2025
Problemas de saúde;13/11/2025
Perda de emprego;05/12/2025
Separacao / divorcio;28/07/2025
Discordância do valor;22/10/2025
Nao recebeu o boleto;10/01/2026
Desemprego;24/11/2025
Perda de emprego;02/06/2025
Separacao / divorcio;05/09/2025
Discordancia do valor;11/11/2025
Problemas de saude na familia;04/01/2026
Nao recebeu o boleto ;13/03/2025
Esqueceu o vencimento;22/06/2025
Esqueceu o vencimento;16/01/2026
Discordancia do valor;05/07/2025
Boleto nao chegou;05/04/2025
Desemprego;28/01/2026
Desemprego / reducao de renda;26/04/2025
Perda de emprego;22/03/2025
Desemprego;12/07/2025
Reducao de renda;28/05/2025
Outros;25/03/2025
Desemprego;19/10/2025
Separacao / divorcio;16/02/2025
Desemprego / reducao de renda;11/01/2026
Esqueceu o vencimento;01/08/2025
Mudanca de endereco;17/11/2025
Desemprego;24/02/2026
Esquecimento;29/07/2025
Desemprego;14/04/2025
Separacao / divorcio;25/06/2025
Nao recebeu o boleto;23/07/2025
Nao recebeu o boleto ;26/04/2025
Desemprego / reducao de renda;03/08/2025
Desemprego / reducao de renda;30/05/2025
Problemas de saúde;21/02/2026
Nao recebeu o boleto;02/09/2025
Problema de saude;12/03/2025
Nao recebeu o boleto;27/08/2025
Esquecimento;04/03/2025
Nao recebeu o boleto ;02/11/2025
Desemprego;19/03/2025
Esquecimento;26/09/2025
Discordancia do valor;29/09/2025
Problemas de saude na familia;06/11/2025
Problema de saude;26/09/2025
Nao recebeu o boleto ;16/02/2026
Separacao / divorcio;28/10/2025
Desemprego / reducao de renda;08/08/2025
Problemas de saúde;14/08/2025
Separacao / divorcio;24/03/2025
Desemprego;04/04/2025
Esqueceu o vencimento;29/08/2025
Reducao de renda;28/02/2026
Mudanca de endereco;21/03/2025
Boleto nao chegou;08/03/2025
Perda de emprego;23/02/2026
Esqueceu o vencimento;27/02/2026
Problemas de saude na familia;31/05/2025
Problemas de saude na familia;01/01/2026
Perda de emprego;08/03/2025
Discordancia do valor;06/07/2025
Esqueceu o vencimento;19/03/2025
Reducao de renda;24/11/2025
Reducao de renda;14/07/2025
Discordância do valor;20/08/2025
Separacao / divorcio;29/11/2025
Reducao de renda;11/02/2025
Desemprego / reducao de renda;13/06/2025
Desemprego;30/01/2026
Problemas de saúde;01/01/2026
Problemas de saude na familia;05/02/2026
Boleto nao chegou;12/03/2026
Reducao de renda;08/10/2025
Separacao / divorcio;20/10/2025
Discordancia do valor;24/06/2025
Perda de emprego;11/11/2025
Nao recebeu o boleto ;07/08/2025
Desemprego;28/09/2025
Problemas de saúde;17/01/2026
Perda de emprego;18/02/2026
Esqueceu o vencimento;05/01/2026
Separacao / divorcio;09/05/2025
Desemprego / reducao de renda;27/01/2026
Desemprego;28/09/2025
Problema de saude;10/09/2025
Separacao / divorcio;19/12/2025
Desemprego;01/12/2025
Discordancia do valor;10/03/2025
Desemprego;28/07/2025
Nao recebeu o boleto ;28/02/2025
Perda de emprego;16/11/2025
Nao recebeu o boleto;23/11/2025
Problemas de saúde;17/11/2025
Nao recebeu o boleto ;17/02/2026
Desemprego;09/09/2025
Desemprego / reducao de renda;24/08/2025
Desemprego / reducao de renda;30/08/2025
Discordância do valor;27/08/2025
Problemas de saúde;08/12/2025
Problema de saude;28/06/2025
Reducao de renda;30/01/2026
Desemprego;07/07/2025
Problemas de saúde;26/07/2025
Nao recebeu o boleto ;23/08/2025
Desemprego;17/07/2025
Discordância do valor;15/02/2026
Mudanca de endereco;14/11/2025
Desemprego / reducao de renda;12/12/2025
Esquecimento;13/05/2025
Discordancia do valor;05/08/2025
Nao recebeu o boleto ;20/12/2025
Nao recebeu o boleto ;30/12/2025
Outros;28/05/2025
Esquecimento;21/01/2026
Problemas de saude na familia;10/03/2025
Mudanca de endereco;05/08/2025
Perda de emprego;12/11/2025
Desemprego / reducao de renda;14/01/2026
Problemas de saude na familia;27/12/2025
Mudanca de endereco;22/05/2025
Desemprego;26/11/2025
Problemas de saúde;08/10/2025
Esqueceu o vencimento;12/08/2025
Nao recebeu o boleto ;08/09/2025
Problemas de saúde;14/02/2025
Desemprego / reducao de renda;29/03/2025
Esqueceu o vencimento;12/02/2025
Problemas de saude na familia;17/06/2025
Boleto nao chegou;24/07/2025
Reducao de renda;15/05/2025
Discordancia do valor;27/05/2025
Desemprego;18/02/2026
Boleto nao chegou;12/06/2025
Boleto nao chegou;27/03/2025
Outros;19/07/2025
Outros;20/12/2025
Desemprego / reducao de renda;17/02/2025
Boleto nao chegou;09/02/2025
Discordância do valor;28/06/2025
Discordância do valor;12/03/2025
Nao recebeu o boleto;03/10/2025
Esqueceu o vencimento;21/03/2025
Boleto nao chegou;30/09/2025
Problemas de saúde;07/02/2026
Esqueceu o vencimento;06/06/2025
Discordancia do valor;19/02/2025
Problemas de saúde;11/02/2026
Reducao de renda;06/01/2026
Problemas de saude na familia;20/09/2025
Desemprego / reducao de renda;22/09/2025
Outros;05/05/2025
Esquecimento;14/07/2025
Outros;05/08/2025
Esquecimento;07/12/2025
Boleto nao chegou;16/12/2025
Separacao / divorcio;28/06/2025
Problemas de saude na familia;10/09/2025
Boleto nao chegou;09/03/2025
Desemprego;06/04/2025
Discordancia do valor;16/11/2025
Desemprego / reducao de renda;07/11/2025
Esquecimento;16/02/2025
Problemas de saúde;05/03/2026
Perda de emprego;14/05/2025
Reducao de renda;26/12/2025
Esqueceu o vencimento;12/04/2025
Nao recebeu o boleto ;23/10/2025
Nao recebeu o boleto;07/05/2025
Separacao / divorcio;16/03/2025
Problemas de saude na familia;22/07/2025
Desemprego;01/04/2025
Problemas de saude na familia;24/12/2025
Desemprego / reducao de renda;15/10/2025
Reducao de renda;09/01/2026
Nao recebeu o boleto ;01/03/2025
Discordancia do valor;30/09/2025
Reducao de renda;14/02/2026
Reducao de renda;26/02/2026
Nao recebeu o boleto;08/11/2025
Reducao de renda;24/02/2026
Boleto nao chegou;05/02/2026
Separacao / divorcio;10/08/2025
Esqueceu o vencimento;10/01/2026
Separacao / divorcio;09/01/2026
Problema de saude;07/06/2025
Discordância do valor;30/05/2025
Esqueceu o vencimento;10/04/2025
Mudanca de endereco;24/03/2025
Separacao / divorcio;30/06/2025
Reducao de renda;30/08/2025
Desemprego;29/08/2025
Separacao / divorcio;03/11/2025
Boleto nao chegou;15/04/2025
Desemprego;28/09/2025
Mudanca de endereco;16/11/2025
Desemprego;27/04/2025
Discordancia do valor;30/05/2025
Perda de emprego;19/10/2025
Mudanca de endereco;03/03/2025
Discordância do valor;28/02/2026
Perda de emprego;26/11/2025
Problemas de saúde;10/11/2025
Desemprego;21/02/2025
Perda de emprego;12/03/2025
Perda de emprego;28/09/2025
Separacao / divorcio;24/02/2025
Outros;07/03/2025
Boleto nao chegou;13/01/2026
Reducao de renda;31/08/2025
Esquecimento;27/08/2025
Discordancia do valor;12/08/2025
Desemprego / reducao de renda;13/05/2025
Discordancia do valor;01/10/2025
Outros;14/10/2025
Separacao / divorcio;02/05/2025
Separacao / divorcio;29/03/2025
Boleto nao chegou;08/03/2025
Problemas de saúde;17/07/2025
Problema de saude;18/05/2025
Perda de emprego;31/12/2025
Nao recebeu o boleto;06/08/2025
Nao recebeu o boleto;16/02/2025
Esquecimento;24/07/2025
Outros;01/06/2025
Problemas de saude na familia;17/11/2025
Outros;29/08/2025
Esqueceu o vencimento;29/12/2025
Desemprego;05/07/2025
Discordancia do valor;03/04/2025
Problema de saude;20/10/2025
Problemas de saúde;07/12/2025
Desemprego / reducao de renda;17/09/2025
Reducao de renda;11/09/2025
Problemas de saude na familia;07/03/2025
Nao recebeu o boleto ;03/10/2025
Mudanca de endereco;01/05/2025
Esqueceu o vencimento;31/03/2025
Nao recebeu o boleto ;17/07/2025
Mudanca de endereco;10/03/2026
Problemas de saude na familia;04/01/2026
Discordância do valor;15/12/2025
Esquecimento;23/11/2025
Boleto nao chegou;20/02/2025
Nao recebeu o boleto;30/07/2025
Problemas de saude na familia;02/09/2025
Boleto nao chegou;14/07/2025
Boleto nao chegou;08/11/2025
Reducao de renda;08/03/2026
Problemas de saúde;06/12/2025
Discordância do valor;09/03/2026
Outros;05/09/2025
Esquecimento;03/03/2026
Reducao de renda;12/12/2025
Esqueceu o vencimento;04/01/2026
Desemprego;10/03/2026
Boleto nao chegou;23/02/2026
Problemas de saude na familia;27/09/2025
Nao recebeu o boleto;22/01/2026
Boleto nao chegou;12/11/2025
Esqueceu o vencimento;17/11/2025
Problema de saude;28/09/2025
Esquecimento;25/12/2025
Mudanca de endereco;05/03/2026
Reducao de renda;19/10/2025
Esqueceu o vencimento;15/02/2025
Discordância do valor;27/10/2025
Desemprego / reducao de renda;27/10/2025
Desemprego / reducao de renda;21/04/2025
Nao recebeu o boleto;11/03/2025
Reducao de renda;22/05/2025
Mudanca de endereco;14/03/2025
Separacao / divorcio;14/12/2025
Nao recebeu o boleto;11/08/2025
Discordância do valor;16/02/2026
Boleto nao chegou;09/02/2026
Mudanca de endereco;27/02/2025
Esquecimento;20/01/2026
Problemas de saúde;01/09/2025
Perda de emprego;19/05/2025
Problemas de saúde;29/11/2025
Problemas de saude na familia;27/12/2025
Perda de emprego;21/06/2025
Problemas de saúde;23/03/2025
Separacao / divorcio;28/04/2025
Esqueceu o vencimento;11/09/2025
Boleto nao chegou;12/07/2025
Nao recebeu o boleto ;09/10/2025
Reducao de renda;12/02/2025
Discordância do valor;17/12/2025
Discordancia do valor;29/08/2025
Esqueceu o vencimento;23/05/2025
Desemprego / reducao de renda;27/02/2025
Problema de saude;30/05/2025
Nao recebeu o boleto ;14/03/2025
Reducao de renda;16/02/2025
Mudanca de endereco;18/09/2025
Esquecimento;16/02/2026
Outros;04/05/2025
Problemas de saúde;11/05/2025
Boleto nao chegou;26/06/2025
Reducao de renda;05/04/2025
Separacao / divorcio;26/02/2026
Boleto nao chegou;22/02/2025
Perda de emprego;21/11/2025
Esqueceu o vencimento;11/12/2025
Boleto nao chegou;09/05/2025
Perda de emprego;18/05/2025
Problemas de saude na familia;18/11/2025
Reducao de renda;12/08/2025
Boleto nao chegou;14/11/2025
Outros;27/02/2025
Desemprego;10/04/2025
Nao recebeu o boleto ;30/01/2026
Desemprego / reducao de renda;03/01/2026
Perda de emprego;28/05/2025
Reducao de renda;22/08/2025
Separacao / divorcio;17/08/2025
Separacao / divorcio;03/11/2025
Reducao de renda;01/05/2025
Problema de saude;02/06/2025
Desemprego / reducao de renda;30/01/2026
Discordancia do valor;08/10/2025
Boleto nao chegou;24/02/2026
Mudanca de endereco;02/01/2026
Mudanca de endereco;31/01/2026
Esquecimento;21/04/2025
Discordância do valor;30/01/2026
Separacao / divorcio;28/02/2025
Problemas de saúde;25/10/2025
Discordância do valor;27/12/2025
Esquecimento;08/10/2025
Discordância do valor;03/01/2026
Esqueceu o vencimento;02/07/2025
Mudanca de endereco;22/06/2025
Outros;30/10/2025
Desemprego;02/04/2025
Outros;11/11/2025
Desemprego;01/04/2025
Problemas de saude na familia;02/03/2025
Reducao de renda;03/04/2025
Problemas de saúde;25/11/2025
Separacao / divorcio;08/10/2025
Discordancia do valor;10/07/2025
Discordancia do valor;26/11/2025
Perda de emprego;28/12/2025
Discordancia do valor;24/09/2025
Mudanca de endereco;25/09/2025
Nao recebeu o boleto;02/08/2025
Perda de emprego;19/05/2025
Outros;16/09/2025
Separacao / divorcio;09/03/2025
Outros;20/03/2025
Problema de saude;01/01/2026
Problemas de saúde;16/11/2025
Problema de saude;06/04/2025
Reducao de renda;11/08/2025
Nao recebeu o boleto;17/01/2026
Nao recebeu o boleto ;09/01/2026
Desemprego / reducao de renda;27/01/2026
Problema de saude;01/03/2025
Problemas de saúde;04/01/2026
Desemprego;10/03/2025
Problemas de saude na familia;28/04/2025
Discordancia do valor;09/12/2025
Desemprego;24/02/2026
Discordancia do valor;25/02/2026
Separacao / divorcio;04/03/2025
Nao recebeu o boleto;16/04/2025
Desemprego;21/02/2025
Discordancia do valor;12/12/2025
Problema de saude;30/05/2025
Discordancia do valor;13/08/2025
Desemprego / reducao de renda;02/10/2025
Discordância do valor;27/05/2025
Problemas de saúde;06/03/2026
Esquecimento;12/12/2025
Esqueceu o vencimento;26/06/2025
Separacao / divorcio;29/04/2025
Problema de saude;09/03/2026
Desemprego;07/02/2026
Esquecimento;12/06/2025
Outros;22/03/2025
Boleto nao chegou;04/04/2025
Problemas de saúde;07/11/2025
Esqueceu o vencimento;09/03/2026
Desemprego;02/03/2026
Discordancia do valor;19/04/2025
Desemprego;02/05/2025
Desemprego;18/10/2025
Reducao de renda;22/10/2025
Perda de emprego;08/01/2026
Perda de emprego;17/11/2025
Discordancia do valor;17/07/2025
Problemas de saude na familia;28/11/2025
Discordância do valor;24/09/2025
Problemas de saúde;28/09/2025
Discordância do valor;23/03/2025
Mudanca de endereco;09/07/2025
Discordância do valor;28/11/2025
Problema de saude;18/05/2025
Boleto nao chegou;13/02/2026
Outros;23/09/2025
Outros;21/07/2025
Problemas de saude na familia;13/11/2025
Separacao / divorcio;08/10/2025
Perda de emprego;07/05/2025
Nao recebeu o boleto;05/06/2025
Problemas de saude na familia;28/10/2025
Reducao de renda;14/11/2025
Problemas de saude na familia;10/05/2025
Mudanca de endereco;19/07/2025
Esqueceu o vencimento;05/04/2025
Boleto nao chegou;18/06/2025
Nao recebeu o boleto ;28/05/2025
Separacao / divorcio;12/06/2025
Desemprego;23/08/2025
Boleto nao chegou;20/10/2025
Perda de emprego;10/06/2025
Desemprego;26/12/2025
Perda de emprego;17/10/2025
Reducao de renda;03/11/2025
Desemprego;01/01/2026
Boleto nao chegou;06/04/2025
Boleto nao chegou;11/03/2026
Reducao de renda;04/03/2025
Discordância do valor;04/05/2025
Nao recebeu o boleto ;24/05/2025
Outros;09/08/2025
Outros;28/11/2025
Problema de saude;16/06/2025
Problema de saude;21/03/2025
Boleto nao chegou;21/03/2025
Problemas de saude na familia;23/08/2025
Problema de saude;16/02/2026
Problema de saude;30/12/2025
Nao recebeu o boleto;14/07/2025
Esqueceu o vencimento;16/10/2025
Esquecimento;01/05/2025
Outros;25/07/2025
Nao recebeu o boleto ;17/08/2025
Boleto nao chegou;07/03/2026
Problema de saude;05/07/2025
Nao recebeu o boleto ;17/09/2025
Discordancia do valor;24/05/2025
Desemprego / reducao de renda;09/12/2025
Separacao / divorcio;20/10/2025
Problema de saude;20/10/2025
Desemprego / reducao de renda;23/11/2025
Problema de saude;29/08/2025
Esqueceu o vencimento;08/10/2025
Mudanca de endereco;25/04/2025
Boleto nao chegou;26/04/2025
Problemas de saúde;04/07/2025
Nao recebeu o boleto ;16/07/2025
Esquecimento;12/11/2025
Desemprego / reducao de renda;27/06/2025
Problemas de saude na familia;22/11/2025
Desemprego / reducao de renda;04/01/2026
Discordancia do valor;10/12/2025
Problemas de saude na familia;16/10/2025
Outros;17/07/2025
Problemas de saude na familia;04/03/2026
Problema de saude;28/10/2025
Esqueceu o vencimento;18/08/2025
Outros;17/11/2025
Perda de emprego;12/03/2025
Esqueceu o vencimento;15/06/2025
Esquecimento;08/11/2025
Boleto nao chegou;12/07/2025
Desemprego / reducao de renda;20/10/2025
Boleto nao chegou;22/02/2026
Outros;15/01/2026
Desemprego;20/08/2025
Discordancia do valor;13/06/2025
Problemas de saude na familia;27/08/2025
Boleto nao chegou;04/03/2026
Mudanca de endereco;15/02/2025
Perda de emprego;01/12/2025
Problemas de saude na familia;24/04/2025
Desemprego;01/12/2025
Mudanca de endereco;15/02/2025
Discordância do valor;14/10/2025
Problemas de saúde;11/01/2026
Esqueceu o vencimento;13/06/2025
Separacao / divorcio;07/08/2025
Discordância do valor;16/07/2025
Discordância do valor;14/12/2025
Mudanca de endereco;16/08/2025
Problemas de saude na familia;20/01/2026
Separacao / divorcio;18/04/2025
Esquecimento;20/10/2025
Separacao / divorcio;10/03/2026
Outros;11/02/2026
Desemprego / reducao de renda;04/05/2025
Nao recebeu o boleto;12/05/2025
Mudanca de endereco;13/12/2025
Reducao de renda;07/09/2025
Outros;11/10/2025
Problemas de saude na familia;13/04/2025
Outros;28/02/2026
Esquecimento;30/09/2025
Problemas de saude na familia;27/12/2025
Desemprego;13/09/2025
Desemprego;16/12/2025
Discordância do valor;02/04/2025
Nao recebeu o boleto ;16/03/2025
Esqueceu o vencimento;23/04/2025
Nao recebeu o boleto;30/11/2025
Discordância do valor;18/01/2026
Nao recebeu o boleto ;13/09/2025
Outros;17/05/2025
Discordância do valor;07/12/2025
Mudanca de endereco;23/02/2025
Problemas de saude na familia;17/01/2026
Nao recebeu o boleto ;11/02/2025
Nao recebeu o boleto;13/02/2025
Nao recebeu o boleto ;02/04/2025
Nao recebeu o boleto ;29/04/2025
Discordância do valor;26/07/2025
Separacao / divorcio;26/02/2026
Separacao / divorcio;01/10/2025
Esqueceu o vencimento;15/03/2025
Problemas de saude na familia;24/12/2025
Discordancia do valor;09/03/2025
Esquecimento;11/04/2025
Discordância do valor;26/10/2025
Problemas de saude na familia;21/04/2025
Esquecimento;29/12/2025
Separacao / divorcio;07/03/2026
Discordância do valor;02/10/2025
Nao recebeu o boleto ;09/03/2026
Outros;24/11/2025
Problemas de saude na familia;08/02/2026
Mudanca de endereco;19/10/2025
Nao recebeu o boleto;18/05/2025
Reducao de renda;10/11/2025
Problemas de saude na familia;06/10/2025
Perda de emprego;31/07/2025
Perda de emprego;20/05/2025
Reducao de renda;06/11/2025
Separacao / divorcio;27/04/2025
Nao recebeu o boleto ;19/11/2025
Esquecimento;11/11/2025
Boleto nao chegou;11/02/2025
Mudanca de endereco;17/06/2025
Separacao / divorcio;21/03/2025
Nao recebeu o boleto;07/12/2025
Separacao / divorcio;06/05/2025
Reducao de renda;19/12/2025
Nao recebeu o boleto;19/12/2025
Desemprego / reducao de renda;28/08/2025
Problemas de saúde;13/06/2025
Problema de saude;25/02/2026
Separacao / divorcio;13/03/2026
Boleto nao chegou;31/03/2025
Boleto nao chegou;25/12/2025
Desemprego / reducao de renda;30/03/2025
Mudanca de endereco;21/02/2025
Desemprego;22/09/2025
Discordancia do valor;19/02/2025
Reducao de renda;21/02/2026
Boleto nao chegou;23/02/2026
Discordancia do valor;29/04/2025
Esqueceu o vencimento;11/04/2025
Nao recebeu o boleto;11/02/2025
Problemas de saúde;21/02/2026
Outros;08/11/2025
Nao recebeu o boleto ;14/02/2025
Reducao de renda;17/01/2026
Perda de emprego;31/07/2025
Discordância do valor;24/02/2026
Boleto nao chegou;19/02/2025
Reducao de renda;14/07/2025
Separacao / divorcio;13/09/2025
Outros;27/04/2025
Problemas de saúde;04/07/2025
Problemas de saúde;09/12/2025
Esqueceu o vencimento;15/02/2026
Problema de saude;20/05/2025
Problemas de saúde;30/03/2025
Discordância do valor;05/06/2025
Nao recebeu o boleto ;03/09/2025
Problema de saude;13/12/2025
Outros;02/03/2025
Perda de emprego;30/12/2025
Problemas de saúde;08/11/2025
Desemprego / reducao de renda;13/02/2026
Discordancia do valor;01/03/2025
Mudanca de endereco;02/03/2026
Esqueceu o vencimento;10/02/2025
Esqueceu o vencimento;06/09/2025
Nao recebeu o boleto;08/09/2025
Desemprego / reducao de renda;06/06/2025
Mudanca de endereco;26/02/2025
Problemas de saude na familia;03/03/2026
Esquecimento;17/03/2025
Desemprego;31/07/2025
Separacao / divorcio;22/03/2025
Perda de emprego;20/04/2025
Separacao / divorcio;16/01/2026
Discordancia do valor;09/12/2025
Problema de saude;16/08/2025
Esqueceu o vencimento;08/04/2025
Problema de saude;11/03/2025
Boleto nao chegou;27/12/2025
Problema de saude;21/12/2025
Nao recebeu o boleto;04/10/2025
Desemprego / reducao de renda;22/09/2025
Separacao / divorcio;05/03/2025
Reducao de renda;17/01/2026
Outros;13/11/2025
Perda de emprego;14/09/2025
Outros;07/02/2026
Discordancia do valor;29/10/2025
Separacao / divorcio;12/03/2026
Desemprego / reducao de renda;19/02/2026
Boleto nao chegou;05/08/2025
Esquecimento;17/11/2025
Discordancia do valor;27/04/2025
Outros;15/12/2025
Boleto nao chegou;17/12/2025
Desemprego;20/01/2026
Esquecimento;16/11/2025
Perda de emprego;06/03/2025
Mudanca de endereco;25/11/2025
Problema de saude;03/02/2026
Problemas de saúde;25/01/2026
Nao recebeu o boleto;10/04/2025
Boleto nao chegou;10/01/2026
Separacao / divorcio;11/03/2026
Problemas de saúde;28/10/2025
Problemas de saude na familia;12/06/2025
Esquecimento;27/08/2025
Separacao / divorcio;15/10/2025
Esquecimento;28/09/2025
Problema de saude;06/04/2025
Boleto nao chegou;17/04/2025
Nao recebeu o boleto;24/02/2025
Mudanca de endereco;21/07/2025
Desemprego / reducao de renda;27/03/2025
Desemprego;30/05/2025
Outros;19/05/2025
Nao recebeu o boleto;17/09/2025
Esqueceu o vencimento;23/06/2025
Boleto nao chegou;02/11/2025
Esqueceu o vencimento;26/03/2025
Mudanca de endereco;19/12/2025
Outros;01/03/2025
Discordância do valor;07/06/2025
Perda de emprego;03/12/2025
Desemprego;14/03/2025
Esqueceu o vencimento;28/07/2025
Mudanca de endereco;16/05/2025
Separacao / divorcio;15/11/2025
Boleto nao chegou;17/10/2025
Esqueceu o vencimento;08/05/2025
Desemprego / reducao de renda;07/03/2025
Reducao de renda;03/06/2025
Discordância do valor;07/03/2025
Esquecimento;27/07/2025
Outros;04/02/2026
Esqueceu o vencimento;24/04/2025
Problemas de saude na familia;14/12/2025
Reducao de renda;21/10/2025
Outros;06/04/2025
Nao recebeu o boleto ;12/04/2025
Perda de emprego;25/07/2025
Nao recebeu o boleto;22/01/2026
Discordancia do valor;08/05/2025
Discordância do valor;20/12/2025
Perda de emprego;09/05/2025
Nao recebeu o boleto ;08/08/2025
Discordância do valor;27/02/2026
Boleto nao chegou;14/03/2026
Desemprego;02/05/2025
Nao recebeu o boleto;18/03/2025
Esqueceu o vencimento;27/11/2025
Esqueceu o vencimento;19/02/2025
Reducao de renda;23/08/2025
Problema de saude;05/10/2025
Desemprego / reducao de renda;09/12/2025
Nao recebeu o boleto;20/07/2025
Reducao de renda;09/01/2026
Discordancia do valor;30/12/2025
Problema de saude;08/09/2025
Separacao / divorcio;26/03/2025
Problemas de saude na familia;08/09/2025
Esquecimento;15/01/2026
Nao recebeu o boleto;08/09/2025
Esquecimento;19/11/2025
Esqueceu o vencimento;02/11/2025
Discordancia do valor;21/04/2025
Esquecimento;15/02/2025
Problemas de saúde;07/12/2025
Esquecimento;10/12/2025
Problemas de saúde;27/07/2025
Desemprego;12/05/2025
Separacao / divorcio;06/05/2025
Desemprego / reducao de renda;03/06/2025
Reducao de renda;12/03/2026
Esquecimento;23/10/2025
Desemprego;27/07/2025
Problemas de saude na familia;29/08/2025
Nao recebeu o boleto ;15/09/2025
Nao recebeu o boleto;01/10/2025
Nao recebeu o boleto ;04/06/2025
Perda de emprego;23/12/2025
Desemprego / reducao de renda;20/06/2025
Problema de saude;29/04/2025
Discordância do valor;03/02/2026
Nao recebeu o boleto ;01/03/2026
Problemas de saude na familia;24/09/2025
Reducao de renda;28/02/2026
Problemas de saude na familia;17/12/2025
Problemas de saude na familia;10/11/2025
Problemas de saúde;14/02/2026
Problemas de saude na familia;18/11/2025
Problemas de saúde;16/09/2025
Discordância do valor;11/11/2025
Reducao de renda;06/09/2025
Mudanca de endereco;23/01/2026
Discordância do valor;05/04/2025
Boleto nao chegou;18/06/2025
Discordância do valor;13/02/2026
Reducao de renda;24/02/2026
